time_sec,raw_x,raw_y,raw_yaw,output_x,output_y,output_yaw,raw_waypoint_error_m,corrected_waypoint_error_m,lateral_only_x,lateral_only_y,lateral_only_yaw,lateral_only_waypoint_error_m,truth_age_sec,raw_true_error_m,corrected_true_error_m,raw_true_yaw_error_rad,corrected_true_yaw_error_rad,bias_removed_true_error_m,lateral_disabled_true_error_m,p_x,p_y,p_yaw,lag_position_m,lag_yaw_rad
18.589999999999996,0.3210994853936915,0.00669407788452683,0.007146207716544061,0.32059720372984485,0.07438194354505566,-0.00217836233566512,0.003781036401805702,0.07147063540268957,0.32059720372984485,0.07438194354505566,-0.00217836233566512,0.07147063540268957,0.0,0.07314691950846791,0.10233488329201872,0.007570102281742486,0.0017544677704666167,0.07312108049526626,0.07313793300847195,0.0009008655301017967,0.001343957086750227,0.001131055830929721,0.0,0.0
18.630000000000003,0.321660227420388,0.006707001470099436,0.007146071568439716,0.3211580418842621,0.07438963796625561,-0.002178498483769465,0.0037886985682551093,0.07147306773304454,0.3211580418842621,0.07438963796625561,-0.002178498483769465,0.07147306773304454,0.0,0.07290894805974277,0.10217125575309711,0.007569966132839001,0.0017546039193701013,0.072882784493801,0.07289971647618354,0.0010051244768404582,0.001552489497252319,0.0011950558325297311,0.0,0.0
18.65,0.3263257593817473,0.005836720023376684,0.007478749630990932,0.32581525613595314,0.07347589090452519,-0.0018458204212182488,0.002874683663877198,0.0705156671629284,0.32581525613595314,0.07347589090452519,-0.0018458204212182488,0.0705156671629284,0.0,0.07712029537448607,0.10460042707839395,0.007902644194990094,0.0014219258572190085,0.0770885333788469,0.07710153582420667,0.0010553295075410938,0.0016273036511085068,0.0012270558329297247,0.0,0.0
18.689999999999998,0.3283801324774442,0.005819682460626406,0.0074789953653509045,0.32786938105524005,0.07343969821420863,-0.0018455746868582764,0.002838372837470665,0.070460204380377,0.32786938105524005,0.07343969821420863,-0.0018455746868582764,0.070460204380377,0.0,0.07837248587148103,0.10549714040914772,0.007902889928550037,0.0014216801236590637,0.07834000767506806,0.07835270565734045,0.001157822293709617,0.0018309363650512998,0.0012910558345297233,0.0,0.0
18.729999999999997,0.3304598004833408,0.005802190230180689,0.0074792249309458825,0.32995565022498136,0.07271848508574777,-0.001487322994550883,0.0028013700479460196,0.06971944973283317,0.32995565022498136,0.07271848508574777,-0.001487322994550883,0.06971944973283317,0.0,0.07964999626135202,0.10596763266819303,0.007903119493344988,0.0010634284321517917,0.07960556101401714,0.0796407135819612,0.0006280054072344105,0.0007749712901095034,0.0009988268122339424,0.0,0.0
18.75,0.324981114307464,0.006001891549644732,0.007594433094685992,0.3244789748954815,0.07296730262127628,-0.0013721148308107735,0.003052463305608645,0.0700196381792384,0.3244789748954815,0.07296730262127628,-0.0013721148308107735,0.0700196381792384,0.0,0.07378807470764089,0.10183133743275134,0.008018327656686086,0.0009482202688106955,0.07374122348285268,0.07378301824644999,0.000678207707289861,0.0008498173347672893,0.0010308268126339474,0.0,0.0
18.79,0.32484467922476856,0.005978315807116879,0.007594346942120467,0.32434233390717754,0.07294495116178999,-0.0013722009833762986,0.003030168626998856,0.06999856966158263,0.32434233390717754,0.07294495116178999,-0.0013722009833762986,0.06999856966158263,0.0,0.07285170393430775,0.10114486633284711,0.008018241503320533,0.0009483064221762483,0.07280442489202568,0.07284650568705578,0.0007807002254519324,0.0010538804110994057,0.001094826814233946,0.0,0.0
18.83,0.324679583318,0.005954047544943899,0.007594421865323663,0.3241770270375159,0.07292216419570637,-0.001372126060173102,0.003007450353471121,0.0699773345981926,0.3241770270375159,0.07292216419570637,-0.001372126060173102,0.0699773345981926,0.0,0.0718866848971109,0.10044178889516053,0.008018316425723704,0.0009482314997730777,0.07183896750841248,0.07188135428282753,0.0008849589088921129,0.001262692283313559,0.0011588268158339446,0.0,2.168404344971009e-19
18.85,0.32813743432924136,0.006243324179429861,0.007359389227422852,0.32764803242011786,0.07158046040596973,-7.158698073662624e-06,0.0032642728916609464,0.0686031250803247,0.32764803242011786,0.07158046040596973,-7.158698073662624e-06,0.0686031250803247,0.0,0.07495565758997558,0.10172390900778788,0.007783283787423212,0.0004167358619266981,0.07487010119438817,0.07495373143014795,0.0004952131697321129,0.0006001254641617107,0.0008684407073565513,0.0033310711990369823,0.0007595494521316943
18.89,0.3291712109395818,0.006239811669319007,0.007359674062471732,0.3287031671783248,0.06836940433290142,0.0007526755891069112,0.003251061701791383,0.06538231111505001,0.3287031671783248,0.06836940433290142,0.0007526755891069112,0.06538231111505001,0.0,0.07518883636324832,0.09974996127606818,0.007763208485912498,0.0011562100125477315,0.07513268616907846,0.07518649876900688,0.0005977050389758047,0.0007925665307938742,0.0009318637935863163,0.0001302861045128471,0.0
