time_sec,laser_x,laser_y,laser_yaw,truth_x,truth_y,truth_yaw,laser_position_error_m,laser_yaw_error_deg
-0.02,1.4,3.4,-1.5707963267948966,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.002104721200127143,0.020220768750794867
0.08,1.3989734142331756,3.4002655808661806,-1.5710511233832916,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0020946545483998672,0.03481953790016043
0.18000000000000002,1.3980651172411958,3.4002491155329255,-1.571120891774846,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.002663665960117928,0.03881697227964838
0.28,1.3981655147025518,3.3995027280232013,-1.5707099308246697,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0031699133198804298,0.01527064428985786
0.38,1.3977948481201043,3.401082891084652,-1.5709621023730467,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.002408791848317961,0.029719009725137774
0.48000000000000004,1.3967365518884742,3.401341361239591,-1.5711814533547634,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0033283646377207884,0.042286895209560006
0.5800000000000001,1.3989888018618717,3.4002974843674956,-1.570814571226843,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.00205927875469452,0.02126609770094495
0.68,1.3985602361825809,3.4001734956897405,-1.571188389086607,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.002394607414446957,0.04268428337202796
0.78,1.399230519037939,3.4006778725882842,-1.571215663225569,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.001609843119625259,0.04424697642440242
0.88,1.398189367529986,3.402276111994893,-1.5718879861883195,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0017950735882722086,0.08276824465974014
0.9800000000000001,1.3986418816538384,3.4012869168026354,-1.5712544675567766,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0015649482859393382,0.04647030082942686
1.08,1.39884377802158,3.403215826385674,-1.5717023076207852,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0015865984968784226,0.07212964639399197
1.1800000000000002,1.3989878440986336,3.4014973287969066,-1.5712857411660335,1.3999762274415304,3.4021045869418316,-1.5704434078029108,0.0011600276234183056,0.04826214664998969
