x_m,y_m
1.400001,3.394607
1.400012,3.294493
1.400024,3.194359
1.400036,3.094226
1.400048,2.994092
1.400060,2.893958
1.400071,2.793825
1.400083,2.693691
1.400095,2.593558
1.400101,2.493424
1.399489,2.393291
1.396304,2.293157
1.389878,2.193022
1.381196,2.092888
1.368840,1.992753
1.353430,1.892617
1.338267,1.792481
1.322465,1.692346
1.315671,1.642292
1.309929,1.592238
1.305415,1.542182
1.300887,1.455623
1.300336,1.408076
1.303830,1.336191
1.317385,1.250842
1.345631,1.174679
1.437088,1.160343
1.519285,1.152108
1.588406,1.150668
1.633821,1.152450
1.683885,1.154342
1.733954,1.157608
1.784028,1.162174
1.884216,1.174598
1.984419,1.190058
2.084627,1.206628
2.184826,1.221268
2.285011,1.232764
2.385181,1.241162
2.485332,1.244655
2.585471,1.245453
2.685603,1.245095
2.785736,1.244655
2.885868,1.244215
2.986001,1.243775
3.086134,1.243335
3.186266,1.242895
3.286399,1.242455
3.386532,1.242015
3.486664,1.241575
3.586797,1.241135
3.686929,1.240695
3.787062,1.240255
3.887195,1.239815
3.987327,1.239375
4.087460,1.238935
4.187593,1.238495
4.287725,1.238055
4.387858,1.237615
4.487990,1.237175
4.588123,1.236735
4.688256,1.236295
4.788388,1.235855
4.888521,1.235415
4.988654,1.234975
5.088786,1.234535
5.188919,1.234095
5.289051,1.233655
5.389184,1.233215
5.489317,1.232775
5.589449,1.232335
5.689582,1.231895
5.789715,1.231455
5.889847,1.231015
5.989980,1.230575
6.090112,1.230135
6.190245,1.229695
6.290378,1.229255
6.390510,1.228815
6.490643,1.228375
6.590776,1.227935
6.690908,1.227495
6.791041,1.227055
6.891173,1.226615
6.991306,1.226175
7.091439,1.225735
7.191571,1.225295
7.291704,1.224855
7.391837,1.224415
7.491969,1.223975
7.592102,1.223535
7.692234,1.223095
7.742288,1.222875
7.842420,1.222435
7.942553,1.221995
8.042686,1.221555
8.142818,1.221115
8.242951,1.220675
8.343084,1.220235
8.443216,1.219795
8.543349,1.219355
8.643481,1.218915
8.743614,1.218475
8.843747,1.218035
8.943879,1.217595
9.044012,1.217155
9.144145,1.216715
9.244277,1.216275
9.344410,1.215835
9.444542,1.215395
9.544675,1.214955
9.644808,1.214515
9.744940,1.213953
9.845065,1.211989
9.945178,1.206733
10.045268,1.196775
10.145341,1.182799
10.245405,1.166949
10.345470,1.150663
10.445531,1.134153
10.545607,1.120891
10.595641,1.115984
10.645678,1.112426
10.695723,1.110322
10.733080,1.109732
10.791782,1.111035
10.867486,1.118973
10.949692,1.133168
10.982774,1.198224
10.996390,1.279917
10.999886,1.347776
10.999464,1.394496
10.995164,1.482121
10.991906,1.532175
10.987334,1.582229
10.981586,1.632283
10.967288,1.732417
10.950744,1.832550
10.935068,1.932770
10.923026,2.033580
10.912418,2.134123
10.906697,2.184496
10.887991,2.232312
10.854292,2.326896
10.823292,2.422142
10.793120,2.517622
10.762981,2.613113
10.732841,2.708603
10.702702,2.804093
10.672562,2.899583
10.642423,2.995073
10.612283,3.090563
10.582143,3.186053
10.552004,3.281543
10.521864,3.377033
10.506701,3.425073
10.495451,3.474205
10.495430,3.573883
10.495408,3.674016
10.495386,3.774150
10.495365,3.874284
10.495343,3.974417
10.495321,4.074551
10.495300,4.174684
10.495278,4.274818
10.495256,4.374951
10.495577,4.475085
10.498321,4.575219
10.505085,4.675354
10.516402,4.775490
10.530308,4.875627
10.547328,4.975765
10.564252,5.075903
10.578857,5.176038
10.589367,5.276174
10.592664,5.326230
10.594511,5.376285
10.594909,5.412791
10.593881,5.466173
10.586824,5.531798
10.574478,5.600286
10.521745,5.641840
10.453244,5.662733
10.390848,5.676919
10.344853,5.684472
10.295177,5.690928
10.245258,5.695957
10.195250,5.700449
10.094719,5.706570
9.993561,5.708993
9.892068,5.709451
9.790577,5.709922
9.689452,5.712535
9.591409,5.733288
9.494199,5.758933
9.396898,5.784046
9.299525,5.808728
9.201896,5.831915
9.152913,5.842439
9.096441,5.852853
9.031240,5.861412
8.960205,5.868933
8.912336,5.821430
8.873424,5.767063
8.840850,5.715593
8.814513,5.670333
8.767920,5.586651
8.719866,5.498512
8.673201,5.409483
8.627031,5.320138
8.579410,5.231721
8.531003,5.143810
8.480785,5.057059
8.426408,4.972974
8.373094,4.889625
8.346740,4.846293
8.327803,4.813898
8.314689,4.778110
8.320063,4.738565
8.326070,4.700884
8.335533,4.651701
8.357182,4.552830
8.380927,4.454102
8.404778,4.355383
8.426690,4.256529
8.444324,4.160721
8.452523,4.110638
8.460031,4.060506
8.466038,4.010293
8.470530,3.959391
8.473256,3.898095
8.470604,3.823629
8.460245,3.740551
8.393574,3.705936
8.317883,3.690582
8.247467,3.682608
8.204804,3.680657
8.169377,3.679531
8.119265,3.679227
8.069094,3.680377
8.018862,3.682885
7.918275,3.691356
7.817551,3.703105
7.716770,3.716195
7.616055,3.727684
7.564855,3.732266
7.514074,3.735798
7.458276,3.734421
7.405481,3.749769
7.366343,3.791609
7.299731,3.865010
7.265754,3.903040
7.199427,3.978087
7.134566,4.054481
7.071399,4.132436
7.008778,4.210896
6.946637,4.289797
6.885950,4.370037
6.825859,4.450828
6.765388,4.531268
6.703273,4.610193
6.671466,4.648948
6.608137,4.724160
6.565418,4.770293
6.519271,4.816521
6.452916,4.839214
6.382461,4.817924
6.325282,4.797252
6.275494,4.776497
6.229974,4.754887
6.185283,4.730837
6.097293,4.678556
6.010200,4.623642
5.923218,4.568399
5.836231,4.513167
5.748164,4.461120
5.703309,4.437472
5.657903,4.415448
5.612001,4.395275
5.561350,4.375970
5.510978,4.359781
5.453538,4.345522
5.392126,4.343609
5.348178,4.382742
5.308295,4.423440
5.276124,4.462395
5.257035,4.487458
5.238249,4.512759
5.186408,4.588015
5.159418,4.630504
5.108018,4.717482
5.059064,4.806387
5.011330,4.896252
4.962827,4.985513
4.912865,5.073623
4.860519,5.159856
4.804223,5.242979
4.745899,5.324505
4.686739,5.405370
4.626703,5.485549
4.596618,5.525568
4.572751,5.557010
4.545668,5.591162
4.516417,5.626915
4.473454,5.636893
4.418372,5.640894
4.365543,5.643940
4.267002,5.648181
4.166913,5.651890
4.066830,5.655719
3.966603,5.658445
3.915650,5.660130
3.816462,5.662803
3.776128,5.661210
3.740182,5.638143
3.707057,5.616035
3.676309,5.594554
3.635345,5.565488
3.554989,5.504644
3.476817,5.441130
3.399661,5.377208
3.323532,5.312402
3.253993,5.239360
3.184726,5.167612
3.150506,5.134266
3.113854,5.100822
3.075812,5.068190
3.039889,5.039459
2.985990,5.001435
2.921062,4.962956
2.853046,4.952295
2.793326,4.993165
2.737238,5.037851
2.699550,5.074858
2.674247,5.103559
2.617881,5.173716
2.588588,5.215488
2.560643,5.258656
2.507776,5.348098
2.458340,5.441097
2.408685,5.533871
2.355719,5.623209
2.327561,5.666123
2.270615,5.742710
2.249544,5.767530
2.222561,5.796602
2.182690,5.833125
2.140600,5.866749
2.090855,5.875305
2.035625,5.863975
1.987352,5.849454
1.951668,5.836837
1.905008,5.818535
1.858780,5.798928
1.767351,5.756565
1.670064,5.731776
1.620808,5.721262
1.571941,5.709579
1.482126,5.684304
1.449330,5.674133
1.402167,5.657363
1.344378,5.630003
1.293624,5.598366
1.283954,5.538889
1.278027,5.479272
1.277445,5.427702
1.278763,5.396034
1.281306,5.346004
1.285008,5.295989
1.296315,5.195976
1.311740,5.096010
1.329551,4.996071
1.347736,4.896136
1.363343,4.796173
1.375626,4.696171
1.383187,4.596116
1.387254,4.496023
1.388751,4.395900
1.389882,4.295773
1.391013,4.195645
1.392144,4.095518
1.393275,3.995391
1.394406,3.895264
1.395537,3.795136
1.396668,3.695009
1.397799,3.594882
1.398930,3.494755
1.400001,3.394607
