x_m,y_m
1.049634,3.430223
1.050008,3.330117
1.050020,3.230008
1.050031,3.129900
1.050043,3.029791
1.050055,2.929683
1.050066,2.829574
1.050078,2.729466
1.050089,2.629357
1.050102,2.529249
1.050175,2.429134
1.050505,2.328993
1.051157,2.228820
1.052034,2.128621
1.053276,2.028387
1.054821,1.928120
1.056343,1.827856
1.057926,1.727585
1.058653,1.628611
1.059099,1.529790
1.059242,1.430995
1.059573,1.331352
1.059708,1.248301
1.073107,1.166066
1.104846,1.087193
1.155326,1.018315
1.222862,0.963027
1.303097,0.926234
1.390386,0.910967
1.479278,0.909256
1.578188,0.909048
1.676986,0.908563
1.775791,0.907770
1.875867,0.906043
1.975934,0.904014
2.075998,0.901874
2.176068,0.899927
2.276145,0.898294
2.376231,0.896970
2.476328,0.896137
2.576432,0.895574
2.676539,0.895125
2.776647,0.894686
2.876754,0.894246
2.976862,0.893806
3.076969,0.893366
3.177077,0.892926
3.277184,0.892486
3.377292,0.892047
3.477399,0.891607
3.577507,0.891167
3.677614,0.890727
3.777722,0.890287
3.877829,0.889847
3.977937,0.889407
4.078044,0.888968
4.178152,0.888528
4.278259,0.888088
4.378367,0.887648
4.478474,0.887208
4.578582,0.886768
4.678689,0.886328
4.778797,0.885889
4.878904,0.885449
4.979012,0.885009
5.079119,0.884569
5.179227,0.884129
5.279334,0.883689
5.379442,0.883249
5.479549,0.882810
5.579657,0.882370
5.679764,0.881930
5.779872,0.881490
5.879979,0.881050
5.980087,0.880610
6.080194,0.880170
6.180302,0.879731
6.280409,0.879291
6.380517,0.878851
6.480624,0.878411
6.580732,0.877971
6.680839,0.877531
6.780947,0.877092
6.881054,0.876652
6.981162,0.876212
7.081269,0.875772
7.181377,0.875332
7.281484,0.874892
7.381592,0.874452
7.481699,0.874013
7.581807,0.873573
7.681914,0.873133
7.782022,0.872693
7.882129,0.872253
7.982237,0.871813
8.082344,0.871373
8.182452,0.870934
8.282559,0.870494
8.382667,0.870054
8.482774,0.869614
8.582882,0.869174
8.682989,0.868734
8.783097,0.868294
8.883204,0.867855
8.983312,0.867415
9.083419,0.866975
9.183527,0.866535
9.283634,0.866095
9.383742,0.865655
9.483849,0.865216
9.583957,0.864776
9.684064,0.864336
9.784171,0.863908
9.884260,0.863619
9.984315,0.863658
10.084316,0.864164
10.184274,0.865071
10.284211,0.866162
10.384142,0.867297
10.484072,0.868454
10.584038,0.869288
10.682814,0.869081
10.781643,0.868577
10.880627,0.867822
10.950886,0.872962
11.018026,0.890194
11.082778,0.923792
11.140158,0.971058
11.186910,1.030669
11.219734,1.099759
11.236436,1.174331
11.240839,1.250338
11.241126,1.350008
11.241072,1.448861
11.241311,1.547668
11.241848,1.646556
11.243277,1.746725
11.244930,1.846903
11.246496,1.947077
11.247698,2.047236
11.248753,2.147387
11.238791,2.246423
11.214652,2.343387
11.184869,2.438971
11.154822,2.534466
11.124693,2.629933
11.094561,2.725399
11.064429,2.820865
11.034297,2.916331
11.004165,3.011797
10.974033,3.107263
10.943901,3.202729
10.913769,3.298195
10.883637,3.393661
10.853505,3.489128
10.853505,3.489128
10.853505,3.489128
10.845424,3.587993
10.845403,3.688102
10.845381,3.788210
10.845360,3.888319
10.845338,3.988427
10.845316,4.088536
10.845295,4.188644
10.845273,4.288753
10.845252,4.388861
10.845196,4.488969
10.844898,4.589066
10.844198,4.689147
10.843045,4.789212
10.841631,4.889264
10.839906,4.989307
10.838192,5.089349
10.836708,5.189401
10.835635,5.289468
10.835432,5.388197
10.835555,5.486978
10.835328,5.558914
10.827053,5.630066
10.805065,5.695668
10.768854,5.756455
10.717144,5.812632
10.653527,5.856426
10.581664,5.884867
10.506383,5.901595
10.408945,5.917990
10.311632,5.934681
10.214302,5.951626
10.115718,5.969483
10.017171,5.987715
9.918644,6.006143
9.820118,6.024570
9.721570,6.042781
9.622837,6.059162
9.524055,6.075048
9.425278,6.090989
9.326505,6.106973
9.227747,6.123107
9.129810,6.139648
9.032767,6.156219
8.932972,6.156885
8.837636,6.131016
8.753103,6.079788
8.686084,6.007298
8.631840,5.924309
8.578104,5.840767
8.523613,5.756892
8.468985,5.673025
8.414224,5.589253
8.359412,5.505514
8.304744,5.421677
8.250152,5.337788
8.195738,5.253776
8.141730,5.169485
8.087682,5.085223
8.033561,5.001051
7.996860,4.937254
7.973952,4.866220
7.966942,4.790942
7.970706,4.715403
7.980619,4.616335
7.994886,4.517205
8.010200,4.418180
8.025567,4.319158
8.039967,4.220039
8.045587,4.126380
8.048065,4.120083
8.049292,4.113455
8.048967,4.107124
8.047298,4.101549
8.045312,4.097583
8.042932,4.093770
8.040181,4.090167
8.037115,4.086845
8.033881,4.083918
8.030483,4.081340
8.027093,4.079184
8.023357,4.077431
8.017194,4.075952
8.010418,4.075927
8.003656,4.077520
7.903398,4.079628
7.803079,4.083374
7.702737,4.087791
7.602426,4.091408
7.600798,4.094826
7.600055,4.097727
7.599045,4.097975
7.598072,4.098429
7.597190,4.099086
7.521028,4.152386
7.520532,4.153358
7.453439,4.227710
7.387055,4.302760
7.321492,4.378618
7.253785,4.452366
7.185403,4.525448
7.116879,4.598391
7.048297,4.671278
6.979752,4.744201
6.911367,4.817281
6.843908,4.890199
6.775877,4.963413
6.707412,5.034643
6.626284,5.091692
6.530286,5.125718
6.425666,5.128685
6.333437,5.106400
6.243885,5.076183
6.149647,5.044669
6.055130,5.013434
5.959483,4.983147
5.865746,4.948590
5.775925,4.905273
5.686099,4.861961
5.595586,4.820184
5.591461,4.814462
5.585985,4.810132
5.579885,4.807541
5.573686,4.806909
5.569641,4.807159
5.565675,4.807891
5.561966,4.809017
5.558322,4.810523
5.554881,4.812301
5.551714,4.814476
5.548802,4.816937
5.546131,4.819840
5.474152,4.863619
5.471831,4.870094
5.415237,4.952812
5.359881,5.036470
5.305144,5.120599
5.250019,5.204430
5.194156,5.287698
5.134526,5.368101
5.072015,5.446313
5.009709,5.524680
4.947489,5.603112
4.885356,5.681612
4.823557,5.759932
4.777503,5.818356
4.724568,5.871353
4.662674,5.914020
4.594405,5.942299
4.495622,5.957096
4.396334,5.962949
4.296428,5.969016
4.196513,5.975144
4.096598,5.981262
3.996693,5.987490
3.897007,5.993524
3.797090,5.998824
3.722291,5.990135
3.648629,5.971494
3.582122,5.939255
3.518525,5.901999
3.432153,5.851447
3.349157,5.796028
3.267289,5.739019
3.185680,5.681645
3.104858,5.623096
3.029675,5.556224
2.954969,5.488745
2.950759,5.483324
2.945619,5.479178
2.940124,5.476539
2.935923,5.475528
2.931508,5.475012
2.926959,5.475055
2.922406,5.475647
2.918078,5.476772
2.913953,5.478333
2.910248,5.480460
2.907109,5.483690
2.834289,5.510080
2.832552,5.517100
2.832910,5.524612
2.770797,5.603710
2.710463,5.684522
2.636260,5.751943
2.562197,5.819502
2.490053,5.887510
2.417130,5.955661
2.372456,5.998444
2.327134,6.040563
2.275276,6.076118
2.219092,6.104014
2.161293,6.120318
