center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
1.400012,3.294493,1.749998,3.258871,1.050008,3.330117
1.400024,3.194359,1.750011,3.158712,1.050020,3.230008
1.400036,3.094226,1.750024,3.058553,1.050031,3.129900
1.400048,2.994092,1.750037,2.958394,1.050043,3.029791
1.400060,2.893958,1.750050,2.858236,1.050055,2.929683
1.400071,2.793825,1.750062,2.758077,1.050066,2.829574
1.400083,2.693691,1.750075,2.657918,1.050078,2.729466
1.400095,2.593558,1.750088,2.557760,1.050089,2.629357
1.400104,2.493424,1.750095,2.457602,1.050102,2.529249
1.399804,2.393291,1.749486,2.357506,1.050238,2.429128
1.398217,2.293157,1.746321,2.257673,1.050885,2.328954
1.395010,2.193023,1.739929,2.158172,1.052178,2.228715
1.390675,2.092889,1.731294,2.058902,1.053920,2.128428
1.384503,1.992755,1.719001,1.960008,1.056392,2.028067
1.376804,1.892620,1.703675,1.861429,1.059471,1.927642
1.369228,1.792485,1.688592,1.762826,1.062503,1.827223
1.361333,1.692351,1.672876,1.664290,1.065659,1.726789
1.357939,1.642297,1.665735,1.652945,1.067100,1.628950
1.355071,1.592243,1.661396,1.640070,1.067979,1.531416
1.352817,1.542188,1.660071,1.626937,1.068255,1.433935
1.350558,1.455629,1.699922,1.564973,1.068906,1.334757
1.350285,1.409595,1.703079,1.555910,1.068725,1.252612
1.352035,1.349466,1.707544,1.547495,1.081678,1.171219
1.358816,1.278833,1.712997,1.539355,1.112871,1.093160
1.378117,1.212688,1.719298,1.531704,1.162721,1.025047
1.458834,1.205366,1.726481,1.524575,1.229538,0.970471
1.529177,1.201120,1.734363,1.518196,1.308985,0.934316
1.588624,1.200291,1.743100,1.513375,1.395401,0.919532
1.634035,1.201082,1.752952,1.510495,1.483308,0.918109
1.684094,1.201918,1.764932,1.508178,1.581020,0.918132
1.734155,1.203441,1.778026,1.508626,1.678508,0.917603
1.784219,1.205614,1.791054,1.512168,1.776011,0.916455
1.884379,1.211606,1.891531,1.524589,1.876054,0.913442
1.984547,1.219116,1.992088,1.540043,1.976082,0.909824
2.084717,1.227181,2.092673,1.556608,2.076103,0.905983
2.184883,1.234281,2.193214,1.571242,2.176135,0.902529
2.285042,1.239809,2.293675,1.582734,2.276181,0.899702
2.385193,1.243788,2.394059,1.591131,2.376244,0.897495
2.485335,1.245315,2.494317,1.594620,2.476331,0.896269
2.585471,1.245494,2.594507,1.595417,2.576432,0.895582
2.685603,1.245095,2.694667,1.595060,2.676539,0.895125
2.785736,1.244655,2.794825,1.594620,2.776647,0.894686
2.885868,1.244215,2.894982,1.594179,2.876754,0.894246
2.986001,1.243775,2.995140,1.593739,2.976862,0.893806
3.086134,1.243335,3.095298,1.593299,3.076969,0.893366
3.186266,1.242895,3.195456,1.592859,3.177077,0.892926
3.286399,1.242455,3.295613,1.592419,3.277184,0.892486
3.386532,1.242015,3.395771,1.591979,3.377292,0.892047
