center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
1.400012,3.294493,1.749998,3.258871,1.050008,3.330117
1.400024,3.194359,1.750011,3.158712,1.050020,3.230008
1.400036,3.094226,1.750024,3.058553,1.050031,3.129900
1.400048,2.994092,1.750037,2.958394,1.050043,3.029791
1.400060,2.893958,1.750050,2.858236,1.050055,2.929683
1.400071,2.793825,1.750062,2.758077,1.050066,2.829574
1.400083,2.693691,1.750075,2.657918,1.050078,2.729466
1.400095,2.593558,1.750088,2.557760,1.050089,2.629357
1.400101,2.493424,1.750089,2.457603,1.050103,2.529249
1.399489,2.393291,1.748859,2.357570,1.050363,2.429115
1.396304,2.293157,1.742516,2.258063,1.051646,2.328876
1.389878,2.193022,1.729719,2.159219,1.054220,2.228506
1.381196,2.092888,1.712436,2.060838,1.057692,2.128041
1.368840,1.992753,1.687838,1.963209,1.062625,2.027427
1.353430,1.892617,1.657173,1.866209,1.068771,1.926686
1.338267,1.792481,1.626994,1.769162,1.074823,1.825956
1.322465,1.692346,1.595549,1.672249,1.081124,1.725197
1.315671,1.642292,1.581267,1.649559,1.083994,1.629627
1.309929,1.592238,1.572589,1.623809,1.085740,1.534668
1.305415,1.542182,1.569939,1.597543,1.086281,1.439814
1.300887,1.455623,1.606597,1.530925,1.087571,1.341567
1.300336,1.408076,1.612911,1.512799,1.086759,1.261234
1.303830,1.336191,1.621841,1.495969,1.098819,1.181524
1.317385,1.250842,1.632747,1.479689,1.128921,1.105093
1.345631,1.174679,1.645349,1.464387,1.177511,1.038510
1.437088,1.160343,1.659715,1.450129,1.242891,0.985360
1.519285,1.152108,1.675479,1.437371,1.320762,0.950481
1.588406,1.150668,1.692953,1.427729,1.405430,0.936661
1.633821,1.152450,1.712657,1.421969,1.491367,0.935814
1.683885,1.154342,1.736617,1.417335,1.586683,0.936300
1.733954,1.157608,1.762805,1.418231,1.681552,0.935682
1.784028,1.162174,1.788861,1.425315,1.776450,0.933826
1.884216,1.174598,1.889657,1.450597,1.876429,0.928240
1.984419,1.190058,1.990613,1.481945,1.976377,0.921444
2.084627,1.206628,2.091626,1.515516,2.076312,0.914201
2.184826,1.221268,2.192550,1.545224,2.176268,0.907733
2.285011,1.232764,2.293314,1.568648,2.276253,0.902519
2.385181,1.241162,2.393924,1.585882,2.376271,0.898545
2.485332,1.244655,2.494283,1.593300,2.476338,0.896533
2.585471,1.245453,2.594505,1.595334,2.576432,0.895599
2.685603,1.245095,2.694667,1.595060,2.676539,0.895125
2.785736,1.244655,2.794825,1.594620,2.776647,0.894686
2.885868,1.244215,2.894982,1.594179,2.876754,0.894246
2.986001,1.243775,2.995140,1.593739,2.976862,0.893806
3.086134,1.243335,3.095298,1.593299,3.076969,0.893366
3.186266,1.242895,3.195456,1.592859,3.177077,0.892926
3.286399,1.242455,3.295613,1.592419,3.277184,0.892486
3.386532,1.242015,3.395771,1.591979,3.377292,0.892047
