x_m,y_m
1.400001,3.394607
1.400012,3.294493
1.400024,3.194359
1.400036,3.094226
1.400048,2.994092
1.400060,2.893958
1.400071,2.793825
1.400083,2.693691
1.400095,2.593558
1.400103,2.493424
1.399647,2.393291
1.397261,2.293157
1.392444,2.193023
1.385936,2.092888
1.376672,1.992754
1.365117,1.892618
1.353747,1.792483
1.341899,1.692349
1.336805,1.642294
1.332500,1.592240
1.329116,1.542185
1.325722,1.455626
1.325311,1.408835
1.327933,1.342828
1.338100,1.264838
1.361874,1.193684
1.447961,1.182854
1.524231,1.176614
1.588515,1.175480
1.633928,1.176766
1.683990,1.178130
1.734054,1.180524
1.784123,1.183894
1.884298,1.193102
1.984483,1.204587
2.084672,1.216905
2.184855,1.227774
2.285026,1.236286
2.385187,1.242475
2.485334,1.244985
2.585471,1.245474
2.685603,1.245095
2.785736,1.244655
2.885868,1.244215
2.986001,1.243775
3.086134,1.243335
3.186266,1.242895
3.286399,1.242455
3.386532,1.242015
3.486664,1.241575
3.586797,1.241135
3.686929,1.240695
3.787062,1.240255
3.887195,1.239815
3.987327,1.239375
4.087460,1.238935
4.187593,1.238495
4.287725,1.238055
4.387858,1.237615
4.487990,1.237175
4.588123,1.236735
4.688256,1.236295
4.788388,1.235855
4.888521,1.235415
4.988654,1.234975
5.088786,1.234535
5.188919,1.234095
5.289051,1.233655
5.389184,1.233215
5.489317,1.232775
5.589449,1.232335
5.689582,1.231895
5.789715,1.231455
5.889847,1.231015
5.989980,1.230575
6.090112,1.230135
6.190245,1.229695
6.290378,1.229255
6.390510,1.228815
6.490643,1.228375
6.590776,1.227935
6.690908,1.227495
6.791041,1.227055
6.891173,1.226615
6.991306,1.226175
7.091439,1.225735
7.191571,1.225295
7.291704,1.224855
7.391837,1.224415
7.491969,1.223975
7.592102,1.223535
7.692234,1.223095
7.742288,1.222875
7.842420,1.222435
7.942553,1.221995
8.042686,1.221555
8.142818,1.221115
8.242951,1.220675
8.343084,1.220235
8.443216,1.219795
8.543349,1.219355
8.643481,1.218915
8.743614,1.218475
8.843747,1.218035
8.943879,1.217595
9.044012,1.217155
9.144145,1.216715
9.244277,1.216275
9.344410,1.215835
9.444542,1.215395
9.544675,1.214955
9.644808,1.214515
9.744940,1.213983
9.845067,1.212400
9.945185,1.208349
10.045286,1.200770
10.145373,1.190178
10.245455,1.178180
10.345537,1.165856
10.445616,1.153363
10.545706,1.143307
10.595745,1.139572
10.645785,1.136848
10.695833,1.135216
10.733190,1.134732
10.787493,1.135664
10.856775,1.141563
10.933415,1.152143
10.962081,1.212252
10.972293,1.286574
10.974914,1.348968
10.974598,1.394496
10.971373,1.482121
10.968929,1.532175
10.965500,1.582229
10.961189,1.632283
10.950466,1.732417
10.938058,1.832550
10.926301,1.932749
10.917269,2.033390
10.909313,2.133830
10.904688,2.184181
10.886865,2.232064
10.854069,2.326833
10.823284,2.422140
10.793120,2.517622
10.762981,2.613113
10.732841,2.708603
10.702702,2.804093
10.672562,2.899583
10.642423,2.995073
10.612283,3.090563
10.582143,3.186053
10.552004,3.281543
10.521864,3.377033
10.506701,3.425073
10.495451,3.474205
10.495430,3.573883
10.495408,3.674016
10.495386,3.774150
10.495365,3.874284
10.495343,3.974417
10.495321,4.074551
10.495300,4.174684
10.495278,4.274818
10.495256,4.374951
10.495491,4.475085
10.497544,4.575219
10.502612,4.675353
10.511094,4.775489
10.521518,4.875625
10.534277,4.975762
10.546965,5.075899
10.557914,5.176033
10.565790,5.276169
10.568260,5.326225
10.569643,5.376280
10.569939,5.412786
10.569166,5.462405
10.563872,5.521889
10.554610,5.585112
10.506001,5.622420
10.442526,5.640147
10.385028,5.652606
10.340683,5.659945
10.291089,5.666885
10.241313,5.672754
10.191470,5.678221
10.091393,5.687008
9.990845,5.693022
9.890047,5.697561
9.789249,5.702110
9.688726,5.708267
9.590515,5.728027
9.492928,5.751457
9.395273,5.774489
9.297564,5.797196
9.199663,5.818782
9.150589,5.828773
9.096012,5.838662
9.033870,5.847333
8.965614,5.855520
8.920287,5.809350
8.883779,5.757153
8.852448,5.707790
8.825801,5.663094
8.777956,5.580216
8.728401,5.493038
8.679890,5.405194
8.631749,5.317112
8.582520,5.229727
8.532701,5.142721
8.481524,5.056585
8.427228,4.972449
8.373897,4.889126
8.347311,4.845991
8.328045,4.813799
8.314442,4.778166
8.319158,4.738625
8.324324,4.700847
8.332287,4.651476
8.350256,4.552350
8.369796,4.453330
8.389417,4.354318
8.407583,4.255204
8.422483,4.159206
8.429506,4.109042
8.436011,4.058840
8.441391,4.008584
8.445643,3.957665
8.448439,3.900873
8.447306,3.832666
8.440538,3.755930
8.378681,3.726015
8.308998,3.713950
8.245117,3.707498
8.203739,3.705634
8.168317,3.704413
8.118225,3.703652
8.068088,3.703982
8.017906,3.705330
7.917454,3.710617
7.816901,3.718363
7.716304,3.727115
7.615757,3.734666
7.564849,3.737569
7.514583,3.739699
7.459729,3.738113
7.407395,3.753245
7.368726,3.794735
7.302287,3.867674
7.268321,3.905405
7.201614,3.980101
7.136006,4.055808
7.071669,4.132685
7.007742,4.209941
6.944174,4.287529
6.881697,4.366119
6.819667,4.445124
6.757352,4.523865
6.693805,4.601470
6.661470,4.639740
6.597965,4.713525
6.557146,4.757654
6.513064,4.802607
6.450392,4.824268
6.382853,4.803304
6.328220,4.783806
6.279604,4.764407
6.233617,4.744172
6.188251,4.722107
6.098557,4.674839
6.009536,4.625597
5.920597,4.576107
5.831656,4.526626
5.741905,4.479534
5.696410,4.457768
5.650501,4.437221
5.604252,4.418071
5.554017,4.399430
5.507521,4.384324
5.454927,4.370396
5.399421,4.367490
5.360390,4.404547
5.324965,4.442070
5.295699,4.477811
5.276509,4.502795
5.257547,4.527957
5.204560,4.602311
5.176572,4.644013
5.122534,4.728913
5.070329,4.815259
5.019041,4.902324
4.967175,4.988937
4.914215,5.074686
4.859467,5.159027
4.801756,5.241036
4.742525,5.321847
4.682667,5.402163
4.622151,5.481964
4.591845,5.521809
4.568171,5.552722
4.541851,5.585964
4.513460,5.620973
4.471591,5.630402
4.417297,5.634170
4.365060,5.637201
4.266626,5.641831
4.166570,5.646091
4.066518,5.650441
3.966358,5.653962
3.915652,5.655965
3.816702,5.659422
3.776641,5.658262
3.740852,5.635745
3.707896,5.614370
3.676893,5.593567
3.635396,5.565402
3.553577,5.507034
3.473396,5.446663
3.393977,5.385986
3.315324,5.324644
3.243176,5.254841
3.171585,5.185509
3.136097,5.152736
3.098785,5.119891
3.060431,5.087654
3.025818,5.060045
2.976655,5.024622
2.917774,4.987713
2.855639,4.977049
2.801843,5.016383
2.751754,5.057630
2.716338,5.092276
2.690497,5.120419
2.632153,5.188524
2.601170,5.228541
2.571197,5.269605
2.513522,5.354059
2.458421,5.441181
2.403155,5.528134
2.345407,5.612510
2.315278,5.653379
2.255622,5.727154
2.233987,5.751389
2.207890,5.778842
2.171753,5.812243
2.133574,5.843833
2.088083,5.851294
2.037845,5.839857
1.993532,5.826264
1.959189,5.814275
1.912323,5.796591
1.865780,5.777929
1.773459,5.738240
1.676745,5.711732
1.627932,5.699890
1.579411,5.687170
1.489946,5.660846
1.457455,5.650587
1.413870,5.635271
1.361426,5.611718
1.314171,5.584124
1.307034,5.529281
1.302694,5.475207
1.302354,5.427983
1.303432,5.396313
1.305481,5.346277
1.308399,5.296253
1.317162,5.196212
1.329014,5.096205
1.342655,4.996219
1.356576,4.896236
1.368564,4.796232
1.378059,4.696199
1.384012,4.596126
1.387345,4.496024
1.388751,4.395900
1.389882,4.295773
1.391013,4.195645
1.392144,4.095518
1.393275,3.995391
1.394406,3.895264
1.395537,3.795136
1.396668,3.695009
1.397799,3.594882
1.398930,3.494755
1.400001,3.394607
