center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
9.044012,1.217155,9.004605,1.567331,9.083419,0.866975
9.144145,1.216715,9.104763,1.566891,9.183527,0.866535
9.244277,1.216275,9.204921,1.566451,9.283634,0.866095
9.344410,1.215835,9.305079,1.566011,9.383742,0.865655
9.444542,1.215395,9.405236,1.565571,9.483849,0.865216
9.544675,1.214955,9.505394,1.565130,9.583957,0.864776
9.644808,1.214515,9.605552,1.564690,9.684064,0.864336
9.744940,1.214044,9.705717,1.564190,9.784171,0.863908
9.845071,1.213224,9.805958,1.562992,9.884260,0.863619
9.945199,1.211580,9.906384,1.560159,9.984315,0.863658
10.045320,1.208760,10.007071,1.554990,10.084316,0.864164
10.145439,1.204936,10.107980,1.547824,10.184274,0.865071
10.245553,1.200643,10.208991,1.539725,10.284211,0.866162
10.345669,1.196242,10.310026,1.531410,10.384142,0.867297
10.445785,1.191785,10.411072,1.522984,10.484072,0.868454
10.545903,1.188139,10.511938,1.516172,10.584038,0.869288
10.595951,1.186748,10.518596,1.515007,10.682814,0.869081
10.646000,1.185693,10.524989,1.515328,10.781643,0.868577
10.696051,1.185002,10.530603,1.516907,10.880627,0.867822
10.733410,1.184732,10.534087,1.518720,10.950886,0.872962
10.778913,1.184922,10.537280,1.520962,11.018026,0.890194
10.835354,1.186742,10.540502,1.523639,11.082778,0.923792
10.900861,1.190093,10.543563,1.526654,11.140158,0.971058
10.920694,1.240308,10.546405,1.529988,11.186910,1.030669
10.924098,1.299886,10.548956,1.533576,11.219734,1.099759
10.924971,1.351351,10.551156,1.537324,11.236436,1.174331
10.924866,1.394496,10.552776,1.541356,11.240839,1.250338
10.923791,1.482121,10.594371,1.600486,11.241126,1.350008
10.922977,1.532175,10.594641,1.606765,11.241072,1.448861
10.921833,1.582229,10.593445,1.613271,11.241311,1.547668
10.920396,1.632283,10.590758,1.619371,11.241848,1.646556
10.916822,1.732417,10.583614,1.719230,11.243277,1.746725
10.912686,1.832550,10.575350,1.819042,11.244930,1.846903
10.908767,1.932705,10.567519,1.918873,11.246496,1.947077
10.905756,2.033009,10.561509,2.018782,11.247698,2.047236
10.903105,2.133244,10.556231,2.118721,11.248753,2.147387
10.900672,2.183551,10.553998,2.119206,11.238791,2.246423
10.884613,2.231567,10.552184,2.119203,11.214652,2.343387
10.853623,2.326706,10.522280,2.214433,11.184869,2.438971
10.823268,2.422135,10.491710,2.309804,11.154822,2.534466
10.793120,2.517622,10.461547,2.405312,11.124693,2.629933
10.762981,2.613113,10.431399,2.500825,11.094561,2.725399
10.732841,2.708603,10.401252,2.596339,11.064429,2.820865
10.702702,2.804093,10.371105,2.691853,11.034297,2.916331
10.672562,2.899583,10.340957,2.787367,11.004165,3.011797
10.642423,2.995073,10.310810,2.882881,10.974033,3.107263
10.612283,3.090563,10.280663,2.978395,10.943901,3.202729
10.582143,3.186053,10.250515,3.073909,10.913769,3.298195
10.552004,3.281543,10.220368,3.169423,10.883637,3.393661
10.521864,3.377033,10.190221,3.264937,10.853505,3.489128
10.506701,3.425073,10.160782,3.361182,10.853505,3.489128
10.495451,3.474205,10.145605,3.459625,10.853505,3.489128
10.495430,3.573883,10.145429,3.559772,10.845424,3.587993
10.495408,3.674016,10.145407,3.659931,10.845403,3.688102
10.495386,3.774150,10.145385,3.760089,10.845381,3.788210
10.495365,3.874284,10.145364,3.860248,10.845360,3.888319
10.495343,3.974417,10.145342,3.960407,10.845338,3.988427
10.495321,4.074551,10.145320,4.060565,10.845316,4.088536
10.495300,4.174684,10.145298,4.160724,10.845295,4.188644
10.495278,4.274818,10.145277,4.260883,10.845273,4.288753
10.495256,4.374951,10.145255,4.361042,10.845252,4.388861
10.495320,4.475085,10.145404,4.461207,10.845196,4.488969
10.495990,4.575219,10.146765,4.561421,10.844898,4.589066
10.497664,4.675353,10.150133,4.661713,10.844198,4.689147
10.500478,4.775487,10.155776,4.762094,10.843045,4.789212
10.503938,4.875621,10.162713,4.862527,10.841631,4.889264
10.508177,4.975756,10.171205,4.963019,10.839906,4.989307
10.512391,5.075891,10.179651,5.063509,10.838192,5.089349
10.516026,5.176025,10.186936,5.163951,10.836708,5.189401
10.518638,5.276159,10.192177,5.264312,10.835635,5.289468
10.519454,5.326213,10.193078,5.271215,10.835432,5.388197
10.519907,5.376269,10.192359,5.277849,10.835555,5.486978
10.520001,5.412774,10.190946,5.282177,10.835328,5.558914
10.519737,5.454869,10.189073,5.286194,10.827053,5.630066
10.517966,5.502072,10.186861,5.289906,10.805065,5.695668
10.514872,5.554766,10.184258,5.293511,10.768854,5.756455
10.474515,5.583580,10.181099,5.297128,10.717144,5.812632
10.421090,5.594975,10.177576,5.300453,10.653527,5.856426
10.373390,5.603980,10.173774,5.303403,10.581664,5.884867
10.332342,5.610893,10.169548,5.305784,10.506383,5.901595
10.282913,5.618799,10.163274,5.307717,10.408945,5.917990
10.233423,5.626349,10.156382,5.308159,10.311632,5.934681
10.183912,5.633765,10.149568,5.307338,10.214302,5.951626
10.084741,5.647884,10.050289,5.318746,10.115718,5.969483
9.985415,5.661079,9.950821,5.328288,10.017171,5.987715
9.886004,5.673781,9.851253,5.336839,9.918644,6.006143
9.786593,5.686488,9.751683,5.345396,9.820118,6.024570
9.687274,5.699730,9.652222,5.355033,9.721570,6.042781
9.588725,5.717507,9.553683,5.373824,9.622837,6.059162
9.490386,5.736506,9.455393,5.395085,9.524055,6.075048
9.392023,5.755373,9.357077,5.416076,9.425278,6.090989
9.293642,5.774132,9.258741,5.436851,9.326505,6.106973
9.195197,5.792518,9.160328,5.456870,9.227747,6.123107
9.145943,5.801441,9.156558,5.458068,9.129810,6.139648
9.095154,5.810280,9.152831,5.458348,9.032767,6.156219
9.039131,5.819173,9.149182,5.457731,8.932972,6.156885
8.976432,5.828696,9.145629,5.456673,8.837636,6.131016
8.936189,5.785190,9.142352,5.454914,8.753103,6.079788
8.904488,5.737333,9.139504,5.452559,8.686084,6.007298
8.875644,5.692186,9.137270,5.449505,8.631840,5.924309
8.848377,5.648618,9.135758,5.445863,8.578104,5.840767
8.798026,5.567344,9.076797,5.375752,8.523613,5.756892
8.745472,5.482092,9.025668,5.289419,8.468985,5.673025
8.693267,5.396616,8.975214,5.202618,8.414224,5.589253
8.641184,5.311062,8.925005,5.115649,8.359412,5.505514
8.588739,5.225739,8.874083,5.029169,8.304744,5.421677
8.536097,5.140543,8.822779,4.942952,8.250152,5.337788
8.483002,5.055637,8.770589,4.857347,8.195738,5.253776
8.428868,4.971398,8.716363,4.773143,8.141730,5.169485
8.375504,4.888129,8.669390,4.686989,8.087682,5.085223
8.348453,4.845387,8.669792,4.686493,8.033561,5.001051
8.328529,4.813601,8.670461,4.686104,7.996860,4.937254
8.313948,4.778278,8.670853,4.685947,7.973952,4.866220
8.317348,4.738745,8.670592,4.685975,7.966942,4.790942
8.320830,4.700773,8.670253,4.685950,7.970706,4.715403
8.325793,4.651026,8.669656,4.685790,7.980619,4.616335
8.336403,4.551388,8.675117,4.585724,7.994886,4.517205
8.347535,4.451786,8.680371,4.485637,8.010200,4.418180
8.358695,4.352187,8.685613,4.385549,8.025567,4.319158
8.369369,4.252553,8.691050,4.285480,8.039967,4.220039
8.378801,4.156176,8.696881,4.185536,8.045587,4.126380
8.383474,4.105849,8.703317,4.086876,8.048065,4.120083
8.387973,4.055508,8.710002,3.988282,8.049292,4.113455
8.392095,4.005164,8.716994,3.889673,8.048967,4.107124
8.395871,3.954213,8.722155,3.790767,8.047298,4.101549
8.398803,3.906429,8.712369,3.715265,8.045312,4.097583
8.400711,3.850740,8.687178,3.643074,8.042932,4.093770
8.401124,3.786688,8.646574,3.578201,8.040181,4.090167
8.348895,3.766174,8.592874,3.524153,8.037115,4.086845
8.291227,3.760684,8.530787,3.484205,8.033881,4.083918
8.240419,3.757277,8.462668,3.458474,8.030483,4.081340
8.201610,3.755590,8.393974,3.447559,8.027093,4.079184
8.166197,3.754177,8.324022,3.444689,8.023357,4.077431
8.116143,3.752502,8.225186,3.440723,8.017194,4.075952
