x_m,y_m
1.400001,3.394607
1.400012,3.294493
1.400024,3.194359
1.400036,3.094226
1.400048,2.994092
1.400060,2.893958
1.400071,2.793825
1.400083,2.693691
1.400095,2.593558
1.400100,2.493424
1.399332,2.393291
1.395347,2.293157
1.387312,2.193022
1.376457,2.092887
1.361009,1.992752
1.341743,1.892616
1.322786,1.792479
1.303031,1.692343
1.294537,1.642289
1.287358,1.592236
1.281714,1.542179
1.276051,1.455620
1.275361,1.407316
1.279728,1.329554
1.296670,1.236847
1.329388,1.155674
1.426215,1.137831
1.514339,1.127602
1.588297,1.125857
1.633714,1.128134
1.683780,1.130554
1.733853,1.134691
1.783932,1.140454
1.884135,1.156094
1.984355,1.175529
2.084582,1.196352
2.184798,1.214762
2.284995,1.229242
2.385175,1.239849
2.485330,1.244325
2.585471,1.245433
2.685603,1.245095
2.785736,1.244655
2.885868,1.244215
2.986001,1.243775
3.086134,1.243335
3.186266,1.242895
3.286399,1.242455
3.386532,1.242015
3.486664,1.241575
3.586797,1.241135
3.686929,1.240695
3.787062,1.240255
3.887195,1.239815
3.987327,1.239375
4.087460,1.238935
4.187593,1.238495
4.287725,1.238055
4.387858,1.237615
4.487990,1.237175
4.588123,1.236735
4.688256,1.236295
4.788388,1.235855
4.888521,1.235415
4.988654,1.234975
5.088786,1.234535
5.188919,1.234095
5.289051,1.233655
5.389184,1.233215
5.489317,1.232775
5.589449,1.232335
5.689582,1.231895
5.789715,1.231455
5.889847,1.231015
5.989980,1.230575
6.090112,1.230135
6.190245,1.229695
6.290378,1.229255
6.390510,1.228815
6.490643,1.228375
6.590776,1.227935
6.690908,1.227495
6.791041,1.227055
6.891173,1.226615
6.991306,1.226175
7.091439,1.225735
7.191571,1.225295
7.291704,1.224855
7.391837,1.224415
7.491969,1.223975
7.592102,1.223535
7.692234,1.223095
7.742288,1.222875
7.842420,1.222435
7.942553,1.221995
8.042686,1.221555
8.142818,1.221115
8.242951,1.220675
8.343084,1.220235
8.443216,1.219795
8.543349,1.219355
8.643481,1.218915
8.743614,1.218475
8.843747,1.218035
8.943879,1.217595
9.044012,1.217155
9.144145,1.216715
9.244277,1.216275
9.344410,1.215835
9.444542,1.215395
9.544675,1.214955
9.644808,1.214515
9.744940,1.213922
9.845063,1.211577
9.945171,1.205118
10.045251,1.192780
10.145308,1.175420
10.245356,1.155717
10.345403,1.135470
10.445447,1.114942
10.545509,1.098475
10.595538,1.092396
10.645570,1.088003
10.695614,1.085428
10.732970,1.084732
10.796072,1.086406
10.878196,1.096384
10.965969,1.114193
11.003468,1.184196
11.020487,1.273261
11.024857,1.346585
11.024330,1.394496
11.018955,1.482121
11.014882,1.532175
11.009167,1.582229
11.001982,1.632283
10.984110,1.732417
10.963430,1.832550
10.943835,1.932791
10.928782,2.033771
10.915523,2.134416
10.908705,2.184811
10.889117,2.232561
10.854515,2.326960
10.823300,2.422145
10.793120,2.517622
10.762981,2.613113
10.732841,2.708603
10.702702,2.804093
10.672562,2.899583
10.642423,2.995073
10.612283,3.090563
10.582143,3.186053
10.552004,3.281543
10.521864,3.377033
10.506701,3.425073
10.495451,3.474205
10.495430,3.573883
10.495408,3.674016
10.495386,3.774150
10.495365,3.874284
10.495343,3.974417
10.495321,4.074551
10.495300,4.174684
10.495278,4.274818
10.495256,4.374951
10.495662,4.475085
10.499098,4.575219
10.507558,4.675355
10.521710,4.775491
10.539098,4.875629
10.560378,4.975768
10.581539,5.075907
10.599801,5.176042
10.612944,5.276179
10.617067,5.326235
10.619379,5.376291
10.619878,5.412796
10.618595,5.469941
10.609777,5.541706
10.594347,5.615460
10.537489,5.661260
10.463962,5.685319
10.396667,5.701232
10.349024,5.708998
10.299265,5.714971
10.249203,5.719159
10.199029,5.722677
10.098045,5.726132
9.996277,5.724965
9.894090,5.721341
9.791905,5.717733
9.690178,5.716804
9.592303,5.738549
9.495470,5.766408
9.398523,5.793603
9.301486,5.820260
9.204129,5.845047
9.155237,5.856105
9.096870,5.867044
9.028609,5.875491
8.954796,5.882345
8.904385,5.833510
8.863069,5.776973
8.829252,5.723396
8.803225,5.677572
8.757884,5.593087
8.711330,5.503985
8.666513,5.413772
8.622314,5.323163
8.576301,5.233715
8.529305,5.144899
8.480046,5.057533
8.425588,4.973500
8.372291,4.890123
8.346169,4.846595
8.327561,4.813997
8.314936,4.778054
8.320968,4.738505
8.327817,4.700921
8.338780,4.651926
8.364109,4.553311
8.392057,4.454874
8.420139,4.356449
8.445797,4.257855
8.466165,4.162236
8.475540,4.112235
8.484050,4.062172
8.490686,4.012002
8.495417,3.961117
8.498074,3.895317
8.493901,3.814592
8.479952,3.725172
8.408467,3.685856
8.326769,3.667215
8.249817,3.657719
8.205868,3.655679
8.170437,3.654649
8.120306,3.654802
8.070100,3.656772
8.019818,3.660440
7.919096,3.672095
7.818201,3.687847
7.717235,3.705275
7.616352,3.720702
7.564861,3.726962
7.513565,3.731896
7.456823,3.730730
7.403568,3.746294
7.363960,3.788482
7.297175,3.862345
7.263187,3.900675
7.197240,3.976072
7.133125,4.053154
7.071128,4.132186
7.009814,4.211850
6.949099,4.292065
6.890202,4.373954
6.832050,4.456532
6.773423,4.538671
6.712741,4.618916
6.681461,4.658157
6.618309,4.734795
6.573689,4.782932
6.525478,4.830435
6.455440,4.854160
6.382069,4.832544
6.322345,4.810698
6.271384,4.788587
6.226331,4.765602
6.182315,4.739567
6.096030,4.682273
6.010865,4.621688
5.925838,4.560691
5.840806,4.499708
5.754423,4.442706
5.710209,4.417176
5.665304,4.393676
5.619751,4.372478
5.568683,4.352510
5.514435,4.335237
5.452149,4.320648
5.384831,4.319728
5.335966,4.360937
5.291625,4.404810
5.256550,4.446979
5.237560,4.472121
5.218951,4.497560
5.168255,4.573719
5.142264,4.616995
5.093503,4.706050
5.047799,4.797515
5.003620,4.890179
4.958479,4.982089
4.911515,5.072560
4.861571,5.160684
4.806690,5.244921
4.749273,5.327162
4.690812,5.408577
4.631255,5.489134
4.601391,5.529327
4.577331,5.561298
4.549485,5.596360
4.519374,5.632858
4.475317,5.643385
4.419447,5.647618
4.366026,5.650680
4.267377,5.654530
4.167256,5.657689
4.067142,5.660998
3.966848,5.662927
3.915648,5.664295
3.816222,5.666184
3.775616,5.664157
3.739511,5.640540
3.706219,5.617700
3.675725,5.595541
3.635294,5.565575
3.556401,5.502254
3.480238,5.435597
3.405345,5.368429
3.331740,5.300159
3.264810,5.223880
3.197867,5.149716
3.164915,5.115795
3.128923,5.081753
3.091194,5.048725
3.053960,5.018873
2.995325,4.978248
2.924350,4.938198
2.850452,4.927541
2.784809,4.969947
2.722722,5.018072
2.682762,5.057440
2.657997,5.086700
2.603608,5.158909
2.576007,5.202435
2.550089,5.247706
2.502030,5.342136
2.458259,5.441013
2.414214,5.539608
2.366031,5.633908
2.339843,5.678866
2.285609,5.758265
2.265100,5.783670
2.237232,5.814362
2.193627,5.854007
2.147625,5.889666
2.093627,5.899317
2.033405,5.888092
1.981172,5.872644
1.944147,5.859400
1.897693,5.840479
1.851780,5.819928
1.761243,5.774890
1.663382,5.751820
1.613684,5.742635
1.564472,5.731988
1.474306,5.707762
1.441205,5.697680
1.390463,5.679454
1.327329,5.648289
1.273077,5.612608
1.260874,5.548497
1.253359,5.483337
1.252536,5.427420
1.254093,5.395755
1.257131,5.345731
1.261617,5.295725
1.275468,5.195740
1.294467,5.095815
1.316447,4.995923
1.338896,4.896036
1.358122,4.796114
1.373193,4.696144
1.382362,4.596107
1.387163,4.496022
1.388751,4.395900
1.389882,4.295773
1.391013,4.195645
1.392144,4.095518
1.393275,3.995391
1.394406,3.895264
1.395537,3.795136
1.396668,3.695009
1.397799,3.594882
1.398930,3.494755
1.400001,3.394607
