x_m,y_m
1.749986,3.359029
1.749998,3.258871
1.750011,3.158712
1.750024,3.058553
1.750037,2.958394
1.750050,2.858236
1.750062,2.758077
1.750075,2.657918
1.750088,2.557760
1.750098,2.457601
1.749799,2.357474
1.748223,2.257478
1.745034,2.157649
1.740723,2.057934
1.734583,1.958407
1.726926,1.859039
1.719391,1.759658
1.711539,1.660311
1.707969,1.654638
1.705799,1.648200
1.705137,1.641634
1.746584,1.581997
1.748163,1.577465
1.750395,1.573258
1.753122,1.569188
1.756273,1.565362
1.759864,1.561798
1.763805,1.558609
1.768174,1.556198
1.773100,1.554758
1.779089,1.553600
1.785637,1.553824
1.792150,1.555594
1.892468,1.561585
1.992825,1.569092
2.093196,1.577154
2.193546,1.584251
2.293856,1.589777
2.394127,1.593755
2.494334,1.595280
2.594508,1.595458
2.694667,1.595060
2.794825,1.594620
2.894982,1.594179
2.995140,1.593739
3.095298,1.593299
3.195456,1.592859
3.295613,1.592419
3.395771,1.591979
3.495929,1.591539
3.596087,1.591098
3.696244,1.590658
3.796402,1.590218
3.896560,1.589778
3.996718,1.589338
4.096875,1.588898
4.197033,1.588458
4.297191,1.588017
4.397349,1.587577
4.497506,1.587137
4.597664,1.586697
4.697822,1.586257
4.797980,1.585817
4.898137,1.585377
4.998295,1.584937
5.098453,1.584496
5.198611,1.584056
5.298768,1.583616
5.398926,1.583176
5.499084,1.582736
5.599242,1.582296
5.699399,1.581856
5.799557,1.581415
5.899715,1.580975
5.999873,1.580535
6.100030,1.580095
6.200188,1.579655
6.300346,1.579215
6.400504,1.578775
6.500661,1.578335
6.600819,1.577894
6.700977,1.577454
6.801135,1.577014
6.901292,1.576574
7.001450,1.576134
7.101608,1.575694
7.201766,1.575254
7.301923,1.574813
7.402081,1.574373
7.502239,1.573933
7.602397,1.573493
7.702555,1.573053
7.702555,1.573053
7.802712,1.572613
7.902870,1.572173
8.003028,1.571732
8.103186,1.571292
8.203343,1.570852
8.303501,1.570412
8.403659,1.569972
8.503817,1.569532
8.603974,1.569092
8.704132,1.568652
8.804290,1.568211
8.904448,1.567771
9.004605,1.567331
9.104763,1.566891
9.204921,1.566451
9.305079,1.566011
9.405236,1.565571
9.505394,1.565130
9.605552,1.564690
9.705717,1.564190
9.805958,1.562992
9.906384,1.560159
10.007071,1.554990
10.107980,1.547824
10.208991,1.539725
10.310026,1.531410
10.411072,1.522984
10.511938,1.516172
10.518596,1.515007
10.524989,1.515328
10.530603,1.516907
10.534087,1.518720
10.537280,1.520962
10.540502,1.523639
10.543563,1.526654
10.546405,1.529988
10.548956,1.533576
10.551156,1.537324
10.552776,1.541356
10.594371,1.600486
10.594641,1.606765
10.593445,1.613271
10.590758,1.619371
10.583614,1.719230
10.575350,1.819042
10.567519,1.918873
10.561509,2.018782
10.556231,2.118721
10.553998,2.119206
10.552184,2.119203
10.522280,2.214433
10.491710,2.309804
10.461547,2.405312
10.431399,2.500825
10.401252,2.596339
10.371105,2.691853
10.340957,2.787367
10.310810,2.882881
10.280663,2.978395
10.250515,3.073909
10.220368,3.169423
10.190221,3.264937
10.160782,3.361182
10.145605,3.459625
10.145429,3.559772
10.145407,3.659931
10.145385,3.760089
10.145364,3.860248
10.145342,3.960407
10.145320,4.060565
10.145298,4.160724
10.145277,4.260883
10.145255,4.361042
10.145404,4.461207
10.146765,4.561421
10.150133,4.661713
10.155776,4.762094
10.162713,4.862527
10.171205,4.963019
10.179651,5.063509
10.186936,5.163951
10.192177,5.264312
10.193078,5.271215
10.192359,5.277849
10.190946,5.282177
10.189073,5.286194
10.186861,5.289906
10.184258,5.293511
10.181099,5.297128
10.177576,5.300453
10.173774,5.303403
10.169548,5.305784
10.163274,5.307717
10.156382,5.308159
10.149568,5.307338
10.050289,5.318746
9.950821,5.328288
9.851253,5.336839
9.751683,5.345396
9.652222,5.355033
9.553683,5.373824
9.455393,5.395085
9.357077,5.416076
9.258741,5.436851
9.160328,5.456870
9.156558,5.458068
9.152831,5.458348
9.149182,5.457731
9.145629,5.456673
9.142352,5.454914
9.139504,5.452559
9.137270,5.449505
9.135758,5.445863
9.076797,5.375752
9.025668,5.289419
8.975214,5.202618
8.925005,5.115649
8.874083,5.029169
8.822779,4.942952
8.770589,4.857347
8.716363,4.773143
8.669390,4.686989
8.669792,4.686493
8.670461,4.686104
8.670853,4.685947
8.670592,4.685975
8.670253,4.685950
8.669656,4.685790
8.675117,4.585724
8.680371,4.485637
8.685613,4.385549
8.691050,4.285480
8.696881,4.185536
8.703317,4.086876
8.710002,3.988282
8.716994,3.889673
8.722155,3.790767
8.712369,3.715265
8.687178,3.643074
8.646574,3.578201
8.592874,3.524153
8.530787,3.484205
8.462668,3.458474
8.393974,3.447559
8.324022,3.444689
8.225186,3.440723
8.126473,3.436465
8.027758,3.431883
7.927738,3.426346
7.827730,3.420483
7.727727,3.414484
7.627718,3.408645
7.527976,3.403698
7.430911,3.399906
7.334480,3.414216
7.242049,3.453983
7.163214,3.520680
7.095301,3.594258
7.027537,3.667727
6.959525,3.741244
6.891371,3.814621
6.823054,3.887838
6.757091,3.963374
6.691992,4.039758
6.627598,4.116834
6.563492,4.194196
6.499203,4.271374
6.434117,4.347768
6.432262,4.351311
6.358185,4.398696
6.355361,4.401436
6.351962,4.403339
6.348105,4.404425
6.343960,4.404099
6.340409,4.402558
6.337190,4.400332
6.334473,4.396799
6.333152,4.391867
6.242647,4.349963
6.150686,4.311312
6.054865,4.281296
5.959045,4.251277
5.863362,4.220951
5.769358,4.189858
5.675624,4.158489
5.582256,4.126852
5.486530,4.101814
5.421899,4.095460
5.358054,4.101023
5.299730,4.119435
5.244789,4.148530
5.196093,4.185413
5.153696,4.228589
5.116942,4.275507
5.080138,4.322337
5.017938,4.400436
4.956433,4.477828
4.893396,4.555701
4.830109,4.633384
4.766699,4.710975
4.703368,4.788624
4.640183,4.866387
4.579800,4.946280
4.520697,5.027145
4.460566,5.107229
4.400013,5.186991
4.339016,5.266416
4.338323,5.268054
4.337635,5.269198
4.336781,5.270242
4.335807,5.271237
4.334670,5.271999
4.332940,5.272654
4.331062,5.272858
4.235477,5.286677
4.135395,5.291493
4.035319,5.296368
3.935194,5.300690
3.933950,5.300066
3.838577,5.285569
3.838002,5.284705
3.837652,5.283602
3.837620,5.282275
3.837922,5.280841
3.838855,5.278964
3.752099,5.228752
3.665005,5.179016
3.577861,5.129352
3.490640,5.079794
3.409275,5.021700
3.329923,4.960685
3.252180,4.899669
3.174624,4.838399
3.097138,4.776829
3.035361,4.737858
2.965878,4.711457
2.891236,4.700425
2.815421,4.706008
2.744175,4.727468
2.679286,4.763629
2.623385,4.809127
2.571701,4.858901
2.499256,4.927288
2.427490,4.995391
2.355303,5.063396
2.281194,5.130978
2.206732,5.198218
2.146049,5.278760
2.083853,5.357837
2.084188,5.365151
2.009878,5.412947
2.007748,5.416377
2.005142,5.419289
2.002109,5.421891
1.998722,5.423989
1.995182,5.425402
1.991392,5.426247
1.987502,5.426252
1.983660,5.425950
1.977485,5.424194
1.971663,5.420919
1.878210,5.383831
1.782188,5.355643
