center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
1.400012,3.294493,1.749998,3.258871,1.050008,3.330117
1.400024,3.194359,1.750011,3.158712,1.050020,3.230008
1.400036,3.094226,1.750024,3.058553,1.050031,3.129900
1.400048,2.994092,1.750037,2.958394,1.050043,3.029791
1.400060,2.893958,1.750050,2.858236,1.050055,2.929683
1.400071,2.793825,1.750062,2.758077,1.050066,2.829574
1.400083,2.693691,1.750075,2.657918,1.050078,2.729466
1.400095,2.593558,1.750088,2.557760,1.050089,2.629357
1.400103,2.493424,1.750092,2.457603,1.050103,2.529249
1.399647,2.393291,1.749173,2.357538,1.050301,2.429121
1.397261,2.293157,1.744419,2.257868,1.051265,2.328915
1.392444,2.193023,1.734824,2.158695,1.053199,2.228610
1.385936,2.092888,1.721865,2.059870,1.055806,2.128235
1.376672,1.992754,1.703419,1.961609,1.059508,2.027747
1.365117,1.892618,1.680424,1.863819,1.064121,1.927164
1.353747,1.792483,1.657793,1.765994,1.068663,1.826590
1.341899,1.692349,1.634213,1.668270,1.073391,1.725993
1.336805,1.642294,1.623501,1.651252,1.075547,1.629288
1.332500,1.592240,1.616993,1.631939,1.076859,1.533042
1.329116,1.542185,1.615005,1.612240,1.077268,1.436875
1.325722,1.455626,1.653259,1.547949,1.078238,1.338162
1.325311,1.408835,1.657995,1.534354,1.077742,1.256923
1.327933,1.342828,1.664692,1.521732,1.090248,1.176372
1.338100,1.264838,1.672872,1.509522,1.120896,1.099126
1.361874,1.193684,1.682323,1.498045,1.170116,1.031779
1.447961,1.182854,1.693098,1.487352,1.236214,0.977915
1.524231,1.176614,1.704921,1.477784,1.314874,0.942399
1.588515,1.175480,1.718027,1.470552,1.400415,0.928097
1.633928,1.176766,1.732805,1.466232,1.487338,0.926961
1.683990,1.178130,1.750774,1.462757,1.583852,0.927216
1.734054,1.180524,1.770416,1.463429,1.680030,0.926642
1.784123,1.183894,1.789957,1.468741,1.776231,0.925141
1.884298,1.193102,1.890594,1.487593,1.876242,0.920841
1.984483,1.204587,1.991351,1.510994,1.976229,0.915634
2.084672,1.216905,2.092150,1.536062,2.076207,0.910092
2.184855,1.227774,2.192882,1.558233,2.176201,0.905131
2.285026,1.236286,2.293494,1.575691,2.276217,0.901110
2.385187,1.242475,2.393991,1.588507,2.376257,0.898020
2.485334,1.244985,2.494300,1.593960,2.476335,0.896401
2.585471,1.245474,2.594506,1.595376,2.576432,0.895590
2.685603,1.245095,2.694667,1.595060,2.676539,0.895125
2.785736,1.244655,2.794825,1.594620,2.776647,0.894686
2.885868,1.244215,2.894982,1.594179,2.876754,0.894246
2.986001,1.243775,2.995140,1.593739,2.976862,0.893806
3.086134,1.243335,3.095298,1.593299,3.076969,0.893366
3.186266,1.242895,3.195456,1.592859,3.177077,0.892926
3.286399,1.242455,3.295613,1.592419,3.277184,0.892486
3.386532,1.242015,3.395771,1.591979,3.377292,0.892047
