center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
9.044012,1.217155,9.004605,1.567331,9.083419,0.866975
9.144145,1.216715,9.104763,1.566891,9.183527,0.866535
9.244277,1.216275,9.204921,1.566451,9.283634,0.866095
9.344410,1.215835,9.305079,1.566011,9.383742,0.865655
9.444542,1.215395,9.405236,1.565571,9.483849,0.865216
9.544675,1.214955,9.505394,1.565130,9.583957,0.864776
9.644808,1.214515,9.605552,1.564690,9.684064,0.864336
9.744940,1.213922,9.705743,1.563950,9.784165,0.863956
9.845063,1.211577,9.806325,1.559720,9.884187,0.864273
9.945171,1.205118,9.907822,1.547313,9.984027,0.866228
10.045251,1.192780,10.010623,1.523227,10.083607,0.870516
10.145308,1.175420,10.114536,1.489158,10.182962,0.876804
10.245356,1.155717,10.218963,1.450429,10.282217,0.884022
10.345403,1.135470,10.323508,1.410614,10.381446,0.891457
10.445447,1.114942,10.428106,1.370246,10.480667,0.899002
10.545509,1.098475,10.531802,1.337944,10.580066,0.904934
10.595538,1.092396,10.565094,1.332119,10.673514,0.905659
10.645570,1.088003,10.597057,1.333724,10.767228,0.904897
10.695614,1.085428,10.625130,1.341619,10.861722,0.902880
10.732970,1.084732,10.642545,1.350681,10.929194,0.906570
10.796072,1.086406,10.658515,1.361894,10.993780,0.922008
10.878196,1.096384,10.674625,1.375277,11.055954,0.953464
10.965969,1.114193,10.689925,1.390351,11.110886,0.998318
11.003468,1.184196,10.704140,1.407024,11.155365,1.055261
11.020487,1.273261,10.716895,1.424964,11.186146,1.121481
11.024857,1.346585,10.727892,1.443706,11.201088,1.193055
11.024330,1.394496,10.735992,1.463864,11.204195,1.265836
11.018955,1.482121,10.771852,1.531750,11.205630,1.363756
11.014882,1.532175,10.773205,1.563147,11.205360,1.457585
11.009167,1.582229,10.767225,1.595673,11.206555,1.551188
11.001982,1.632283,10.753787,1.626178,11.209242,1.645194
10.984110,1.732417,10.718072,1.724834,11.216385,1.745605
10.963430,1.832550,10.676748,1.823262,11.224650,1.846059
10.943835,1.932791,10.637595,1.921783,11.232480,1.946495
10.928782,2.033771,10.607547,2.020693,11.238490,2.046854
10.915523,2.134416,10.581157,2.119753,11.243768,2.147182
10.908705,2.184811,10.569987,2.122175,11.235592,2.245829
10.889117,2.232561,10.560922,2.122160,11.212904,2.342795
10.854515,2.326960,10.524036,2.215029,11.184517,2.438851
10.823300,2.422145,10.491776,2.309826,11.154808,2.534462
10.793120,2.517622,10.461547,2.405312,11.124693,2.629933
10.762981,2.613113,10.431399,2.500825,11.094561,2.725399
10.732841,2.708603,10.401252,2.596339,11.064429,2.820865
10.702702,2.804093,10.371105,2.691853,11.034297,2.916331
10.672562,2.899583,10.340957,2.787367,11.004165,3.011797
10.642423,2.995073,10.310810,2.882881,10.974033,3.107263
10.612283,3.090563,10.280663,2.978395,10.943901,3.202729
10.582143,3.186053,10.250515,3.073909,10.913769,3.298195
10.552004,3.281543,10.220368,3.169423,10.883637,3.393661
10.521864,3.377033,10.190221,3.264937,10.853505,3.489128
10.506701,3.425073,10.160782,3.361182,10.853505,3.489128
10.495451,3.474205,10.145605,3.459625,10.853505,3.489128
10.495430,3.573883,10.145429,3.559772,10.845424,3.587993
10.495408,3.674016,10.145407,3.659931,10.845403,3.688102
10.495386,3.774150,10.145385,3.760089,10.845381,3.788210
10.495365,3.874284,10.145364,3.860248,10.845360,3.888319
10.495343,3.974417,10.145342,3.960407,10.845338,3.988427
10.495321,4.074551,10.145320,4.060565,10.845316,4.088536
10.495300,4.174684,10.145298,4.160724,10.845295,4.188644
10.495278,4.274818,10.145277,4.260883,10.845273,4.288753
10.495256,4.374951,10.145255,4.361042,10.845252,4.388861
10.495662,4.475085,10.146086,4.461235,10.845060,4.488962
10.499098,4.575219,10.152977,4.561666,10.843656,4.589016
10.507558,4.675355,10.169908,4.662495,10.840244,4.688991
10.521710,4.775491,10.198206,4.763769,10.834558,4.788877
10.539098,4.875629,10.232979,4.865295,10.827577,4.888711
10.560378,4.975768,10.275527,4.967121,10.819042,4.988487
10.581539,5.075907,10.317843,5.068930,10.810554,5.088265
10.599801,5.176042,10.354354,5.170509,10.803224,5.188089
10.612944,5.276179,10.380645,5.271680,10.797941,5.287994
10.617067,5.326235,10.385147,5.306192,10.797019,5.381201
10.619379,5.376291,10.381555,5.339365,10.797715,5.474676
10.619878,5.412796,10.374490,5.361002,10.798620,5.543148
10.618595,5.469941,10.365127,5.381088,10.791843,5.611088
10.609777,5.541706,10.354063,5.399650,10.771625,5.673720
10.594347,5.615460,10.341050,5.417675,10.737496,5.731623
10.537489,5.661260,10.325255,5.435760,10.688312,5.784906
10.463962,5.685319,10.307640,5.452385,10.627515,5.826040
10.396667,5.701232,10.288630,5.467135,10.558692,5.852121
10.349024,5.708998,10.267497,5.479042,10.486793,5.866943
10.299265,5.714971,10.236132,5.488705,10.394373,5.881792
10.249203,5.719159,10.201667,5.490915,10.302574,5.898129
10.199029,5.722677,10.167600,5.486807,10.210696,5.915732
10.098045,5.726132,10.066169,5.476692,10.112542,5.937893
9.996277,5.724965,9.963797,5.457242,10.014575,5.961924
9.894090,5.721341,9.860919,5.432841,9.916710,5.986943
9.791905,5.717733,9.758039,5.408468,9.818846,6.011956
9.690178,5.716804,9.655698,5.389497,9.720874,6.035889
9.592303,5.738549,9.557969,5.416294,9.621980,6.050668
9.495470,5.766408,9.461488,5.455441,9.522838,6.062976
9.398523,5.793603,9.364875,5.493240,9.423718,6.075557
9.301486,5.820260,9.268154,5.529955,9.324621,6.088353
9.204129,5.845047,9.171057,5.562896,9.225601,6.101900
9.155237,5.856105,9.152210,5.568881,9.130679,6.117487
9.096870,5.867044,9.133572,5.570284,9.036619,6.133831
9.028609,5.875491,9.115330,5.567201,8.939743,6.134991
8.954796,5.882345,9.097562,5.561911,8.847250,6.109968
8.904385,5.833510,9.081180,5.553114,8.765337,6.060148
8.863069,5.776973,9.066940,5.541336,8.700596,5.989542
8.829252,5.723396,9.055767,5.526069,8.648140,5.908997
8.803225,5.677572,9.048210,5.507862,8.595613,5.828367
8.757884,5.593087,8.998259,5.429864,8.539321,5.746069
8.711330,5.503985,8.958874,5.335447,8.482343,5.663819
8.666513,5.413772,8.922877,5.238688,8.424692,5.582039
8.622314,5.323163,8.888090,5.141095,8.366794,5.500424
8.576301,5.233715,8.849754,5.045943,8.309610,5.418323
8.529305,5.144899,8.809492,4.952114,8.252810,5.335956
8.480046,5.057533,8.764809,4.861332,8.196894,5.252979
8.425588,4.973500,8.709950,4.777567,8.143012,5.168601
8.372291,4.890123,8.663146,4.691263,8.088930,5.084369
8.346169,4.846595,8.665159,4.688783,8.034487,5.000594
8.327561,4.813997,8.668501,4.686836,7.997252,4.937108
8.314936,4.778054,8.670461,4.686049,7.975912,4.865712
8.320968,4.738505,8.669156,4.686189,7.974118,4.789872
8.327817,4.700921,8.667461,4.686069,7.984670,4.714815
8.338780,4.651926,8.664476,4.685269,8.006523,4.618947
8.364109,4.553311,8.664064,4.584610,8.050153,4.522771
8.392057,4.454874,8.662609,4.483849,8.099008,4.427120
8.420139,4.356449,8.661099,4.383083,8.148132,4.331486
8.445797,4.257855,8.660558,4.282416,8.192423,4.235363
8.466165,4.162236,8.661995,4.182368,8.220015,4.142222
8.475540,4.112235,8.666449,4.088744,8.232405,4.110741
8.484050,4.062172,8.672151,3.995453,8.238543,4.077601
8.490686,4.012002,8.679404,3.901909,8.236915,4.045944
8.495417,3.961117,8.685901,3.807463,8.228570,4.018072
8.498074,3.895317,8.677702,3.735133,8.218642,3.998241
8.493901,3.814592,8.654417,3.665993,8.206740,3.979176
8.479952,3.725172,8.616014,3.604002,8.192985,3.961157
8.408467,3.685856,8.564766,3.552613,8.177657,3.944549
8.326769,3.667215,8.505267,3.515005,8.161485,3.929914
8.249817,3.657719,8.439864,3.491338,8.144497,3.917022
8.205868,3.655679,8.373884,3.482147,8.127547,3.906242
8.170437,3.654649,8.306920,3.480679,8.108867,3.897479
8.120306,3.654802,8.213014,3.477897,8.078052,3.890084
