time_sec,raw_x,raw_y,raw_yaw,output_x,output_y,output_yaw,raw_waypoint_error_m,corrected_waypoint_error_m,lateral_only_x,lateral_only_y,lateral_only_yaw,lateral_only_waypoint_error_m,p_x,p_y,p_yaw,lag_position_m,lag_yaw_rad
1.0999999999999943,-0.0008477405782202624,0.04809191429782807,-0.051857310222183976,-5.574075452706678e-05,0.06292292840194386,-0.0028586873945623233,0.04617731642815371,0.06100142375941609,-0.0001077088806686755,0.06296399598819408,-0.05187193833593594,0.06104291122525255,0.0008305371791763403,0.0009530351704749957,0.002164608621511667,0.004958990614059498,0.0018176135613446037
1.1200000000000045,-0.001161664066561799,0.048063511151667376,-0.051857363803467386,-0.00030015251710006343,0.06447774890535285,-0.0012587409758449146,0.046151458728044166,0.06255817427090321,-0.0003326123979946039,0.06453311906805038,-0.051871991917219355,0.06261380571887831,0.0008809236923132162,0.00101461029370415,0.0021933522585153805,0.003358427204397678,0.000217613561343785
1.1599999999999966,-0.0018007234322145866,0.04800644088580159,-0.051857482356389095,-0.0007999958730637988,0.06758555938135766,-0.0010412459674228383,0.046099570245191325,0.06566993414465264,-0.000793631825476537,0.06767110141823246,-0.05187211047014108,0.06575542178753623,0.0009842685892297483,0.0012075015830654012,0.002257304904453287,0.0001582898923189838,0.0
1.1999999999999886,0.00030828966197753735,0.048422893927884944,-0.05220388276886068,0.001291844461077108,0.06826674872472248,-0.0013876463798944197,0.04649891495962555,0.0663341456578547,0.001322584788927861,0.06821668557125198,-0.05221851088261265,0.06628383498264107,0.0010850782095414837,0.0014046811479395999,0.0023213049060532742,0.0,0.0
1.2199999999999989,0.0004504562584698551,0.04838319323549311,-0.05220389617341326,0.0014358441109966421,0.0682343205431877,-0.0013876597844470057,0.046458063237271606,0.0663005513496039,0.001464750804658724,0.06817698279923524,-0.05221852428716524,0.06624298118543791,0.0011354884820095118,0.0014795540098860892,0.0023533049064532905,0.0,0.0
1.259999999999991,0.0007407174316040135,0.04830294122784262,-0.05220394498459902,0.001729806945602198,0.06816891576330261,-0.0013877085956327656,0.04637546114828124,0.06623276599675355,0.0017550108038263306,0.06809672654561988,-0.05221857309835101,0.06616037486013769,0.0012388534603194306,0.0016837146716460307,0.002417304908053278,0.0,0.0
1.299999999999983,-0.0009568438432243914,0.04712382997406607,-0.05300798583129929,9.432920873488169e-05,0.06690510003195926,-0.0021917494423330302,0.045210148244874404,0.06498224817900801,5.743228100600312e-05,0.0669176401240889,-0.05302261394505127,0.06499508692796462,0.001339668766239191,0.001880889688075911,0.002481304909653265,0.0,0.0
1.3199999999999932,-0.0011495839391841528,0.047073875377959956,-0.05300788681619296,-9.562467319224291e-05,0.06684541980907498,-0.002191650427226701,0.04516175754842332,0.0649241095915555,-0.00013530854567465108,0.06686768834741218,-0.05302251492994494,0.06494669905677324,0.0013900795121237761,0.0019557556155100422,0.0025133049100532815,0.0,0.0
1.3599999999999852,-0.001541569971140206,0.046973175117364645,-0.05300786027779569,-0.00048198969708879445,0.06672493885604906,-0.0021916238888294364,0.04506423784633885,0.0648067642856504,-0.0005272960506436322,0.0667669938208439,-0.053022488391547676,0.06484918510046692,0.0014934456332292387,0.0021598886582467175,0.002577304911653269,0.0,0.0
1.4000000000000057,0.0015011308667922166,0.048221344872756436,-0.053405265635614096,0.0024933834234439948,0.06812604945876409,-0.00258902924664784,0.04628770392762301,0.06618371191624625,0.0025154230453324124,0.06801511906712818,-0.05341989374936608,0.06607260652611487,0.0015942508192840431,0.00235709953602289,0.0026413049132533017,0.0,0.0
