epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
51,1222.5,0.40416,0.22279,0.00087,0,0,0,0,0,0,0,0.000721645,0.000721645,0.000721645
52,1252.15,0.39785,0.21914,0.00088,0,0,0,0,0,0,0,0.000707498,0.000707498,0.000707498
53,1281.97,0.41057,0.22633,0.0009,0,0,0,0,0,0,0,0.000693351,0.000693351,0.000693351
54,1311.7,0.40039,0.21214,0.00088,0,0,0,0,0,0,0,0.000679204,0.000679204,0.000679204
55,1341.33,0.40731,0.21598,0.00089,0,0,0,0,0,0,0,0.000665057,0.000665057,0.000665057
56,1370.83,0.38561,0.18938,0.00083,0,0,0,0,0,0,0,0.000650909,0.000650909,0.000650909
57,1400.49,0.4012,0.20321,0.00084,0,0,0,0,0,0,0,0.000636762,0.000636762,0.000636762
58,1430.21,0.41958,0.20155,0.0009,0,0,0,0,0,0,0,0.000622615,0.000622615,0.000622615
59,1459.69,0.38637,0.19717,0.00083,0,0,0,0,0,0,0,0.000608468,0.000608468,0.000608468
60,1489.31,0.41281,0.21018,0.00089,0,0,0,0,0,0,0,0.000594321,0.000594321,0.000594321
61,1518.9,0.38643,0.19763,0.00083,0,0,0,0,0,0,0,0.000580174,0.000580174,0.000580174
62,1548.45,0.38574,0.2063,0.00082,0,0,0,0,0,0,0,0.000566027,0.000566027,0.000566027
63,1578.06,0.37908,0.20275,0.00085,0,0,0,0,0,0,0,0.00055188,0.00055188,0.00055188
64,1607.61,0.37562,0.18498,0.00083,0,0,0,0,0,0,0,0.000537733,0.000537733,0.000537733
65,1637.12,0.37512,0.19332,0.00082,0,0,0,0,0,0,0,0.000523586,0.000523586,0.000523586
66,1666.65,0.37464,0.20417,0.00086,0,0,0,0,0,0,0,0.000509438,0.000509438,0.000509438
67,1696.38,0.3561,0.18622,0.00077,0,0,0,0,0,0,0,0.000495291,0.000495291,0.000495291
68,1726.01,0.36861,0.18525,0.0008,0,0,0,0,0,0,0,0.000481144,0.000481144,0.000481144
69,1755.56,0.35577,0.18443,0.00075,0,0,0,0,0,0,0,0.000466997,0.000466997,0.000466997
70,1785.07,0.36245,0.16959,0.00074,0,0,0,0,0,0,0,0.00045285,0.00045285,0.00045285
71,1814.61,0.36325,0.19084,0.00078,0,0,0,0,0,0,0,0.000438703,0.000438703,0.000438703
72,1844.17,0.35483,0.18274,0.00075,0,0,0,0,0,0,0,0.000424556,0.000424556,0.000424556
73,1873.75,0.34851,0.18377,0.00074,0,0,0,0,0,0,0,0.000410409,0.000410409,0.000410409
74,1903.3,0.34735,0.17127,0.00075,0,0,0,0,0,0,0,0.000396262,0.000396262,0.000396262
75,1932.83,0.35044,0.16742,0.00075,0,0,0,0,0,0,0,0.000382115,0.000382115,0.000382115
76,1962.47,0.34426,0.17335,0.00072,0,0,0,0,0,0,0,0.000367967,0.000367967,0.000367967
77,1992.1,0.3449,0.17014,0.00071,0,0,0,0,0,0,0,0.00035382,0.00035382,0.00035382
78,2021.64,0.33787,0.16538,0.0007,0,0,0,0,0,0,0,0.000339673,0.000339673,0.000339673
79,2051.18,0.34809,0.16321,0.00072,0,0,0,0,0,0,0,0.000325526,0.000325526,0.000325526
80,2080.79,0.3399,0.1783,0.00068,0,0,0,0,0,0,0,0.000311379,0.000311379,0.000311379
81,2110.46,0.34032,0.16264,0.0007,0,0,0,0,0,0,0,0.000297232,0.000297232,0.000297232
82,2140.02,0.33828,0.16618,0.00071,0,0,0,0,0,0,0,0.000283085,0.000283085,0.000283085
83,2169.62,0.33447,0.16968,0.00071,0,0,0,0,0,0,0,0.000268938,0.000268938,0.000268938
84,2199.19,0.32963,0.163,0.00069,0,0,0,0,0,0,0,0.000254791,0.000254791,0.000254791
85,2228.73,0.34024,0.1537,0.00069,0,0,0,0,0,0,0,0.000240644,0.000240644,0.000240644
86,2258.43,0.32095,0.15697,0.00067,0,0,0,0,0,0,0,0.000226497,0.000226497,0.000226497
87,2288.02,0.33235,0.16715,0.0007,0,0,0,0,0,0,0,0.000212349,0.000212349,0.000212349
88,2317.58,0.3211,0.14819,0.00067,0,0,0,0,0,0,0,0.000198202,0.000198202,0.000198202
89,2347.12,0.33223,0.1633,0.00069,0,0,0,0,0,0,0,0.000184055,0.000184055,0.000184055
90,2376.81,0.31343,0.15667,0.00066,0,0,0,0,0,0,0,0.000169908,0.000169908,0.000169908
91,2403.12,0.29764,0.14291,0.00073,0,0,0,0,0,0,0,0.000155761,0.000155761,0.000155761
92,2429.24,0.30052,0.14627,0.0007,0,0,0,0,0,0,0,0.000141614,0.000141614,0.000141614
93,2455.5,0.2952,0.14419,0.00073,0,0,0,0,0,0,0,0.000127467,0.000127467,0.000127467
94,2481.8,0.28706,0.14072,0.00068,0,0,0,0,0,0,0,0.00011332,0.00011332,0.00011332
95,2508.19,0.2775,0.13794,0.00066,0,0,0,0,0,0,0,9.91726e-05,9.91726e-05,9.91726e-05
96,2534.4,0.2887,0.13042,0.00069,0,0,0,0,0,0,0,8.50255e-05,8.50255e-05,8.50255e-05
97,2560.52,0.28984,0.14137,0.0007,0,0,0,0,0,0,0,7.08784e-05,7.08784e-05,7.08784e-05
98,2586.68,0.28494,0.14944,0.00066,0,0,0,0,0,0,0,5.67313e-05,5.67313e-05,5.67313e-05
99,2612.92,0.2816,0.1305,0.00067,0,0,0,0,0,0,0,4.25842e-05,4.25842e-05,4.25842e-05
100,2645.68,0.27628,0.14161,0.00066,0.99535,0.98777,0.99471,0.95635,0.30357,0.11873,0.00084,2.84371e-05,2.84371e-05,2.84371e-05
