time_sec,valid,confidence,point_count,span_m
0.0,1.0,0.22435897435897437,14.0,0.6
0.19500000000000028,1.0,0.22435897435897437,14.0,0.6
0.3950000000000031,1.0,0.2763157894736842,15.0,0.76
0.5899999999999963,1.0,0.18648648648648647,12.0,0.6
0.7899999999999991,1.0,0.2596153846153846,15.0,0.6
0.990000000000002,1.0,0.18157894736842103,12.0,0.6
1.1850000000000023,1.0,0.2596153846153846,15.0,0.6
1.384999999999998,1.0,0.26249999999999996,15.0,0.6
1.5799999999999983,0.0,0.0,0.0,0.0
1.8449999999999989,0.0,0.0,0.0,0.0
2.0450000000000017,1.0,0.2596153846153846,15.0,0.6
2.375,1.0,0.2763157894736842,15.0,0.6
2.5700000000000003,1.0,0.18157894736842103,12.0,0.6
2.770000000000003,1.0,0.18648648648648647,12.0,0.6
2.969999999999999,1.0,0.18157894736842103,12.0,0.6
3.164999999999999,1.0,0.22105263157894733,14.0,0.6
3.4949999999999974,1.0,0.2763157894736842,15.0,0.6
3.6950000000000003,1.0,0.18157894736842103,12.0,0.6
3.8900000000000006,1.0,0.2596153846153846,15.0,0.6
4.089999999999996,0.0,0.0,0.0,0.0
4.354999999999997,1.0,0.18157894736842103,12.0,0.6
4.549999999999997,1.0,0.2596153846153846,15.0,0.6
4.75,1.0,0.18648648648648647,12.0,0.6
5.015000000000001,1.0,0.18157894736842103,12.0,0.6
5.214999999999996,1.0,0.2596153846153846,15.0,0.6
5.475000000000001,1.0,0.18648648648648647,12.0,0.6
5.674999999999997,1.0,0.18157894736842103,12.0,0.6
5.869999999999997,1.0,0.22105263157894733,14.0,0.6
6.07,1.0,0.23214285714285715,13.0,0.64
6.335000000000001,1.0,0.22941176470588237,13.0,0.5599999999999999
6.530000000000001,1.0,0.25277777777777777,14.0,0.6
6.795000000000002,1.0,0.4375,20.0,0.6599901066714504
6.994999999999997,1.0,0.41964285714285715,20.0,0.6999988145866434
7.189999999999998,1.0,0.46442307692307694,21.0,0.6999998141807733
7.454999999999998,1.0,0.44680851063829785,20.0,0.7601448396473991
7.655000000000001,1.0,0.40714285714285714,18.0,0.7000000000000001
7.850000000000001,1.0,0.43333333333333335,20.0,0.6999837728171978
8.049999999999997,1.0,0.2916666666666667,15.0,0.5599957330964442
8.314999999999998,1.0,0.39807692307692305,18.0,0.72
8.515,1.0,0.3666666666666667,17.0,0.66
8.774999999999999,1.0,0.4094827586206896,19.0,0.6999893201645693
8.975000000000001,1.0,0.3762295081967213,17.0,0.6999891560988281
9.240000000000002,1.0,0.20294117647058824,12.0,0.7000000000000001
9.435000000000002,1.0,0.38,19.0,0.7000000000000001
9.700000000000003,1.0,0.41436170212765955,19.0,0.7000000000000001
9.899999999999999,1.0,0.3974489795918367,19.0,0.76
10.159999999999997,1.0,0.21627906976744185,12.0,0.6999996305444611
10.424999999999997,1.0,0.2383333333333333,13.0,0.7000000000000001
10.625,1.0,0.19534883720930232,12.0,0.399999993261616
10.89,1.0,0.18648648648648647,12.0,0.6
11.085,1.0,0.23214285714285715,13.0,0.64
11.284999999999997,1.0,0.22941176470588237,13.0,0.5599999999999999
11.549999999999997,1.0,0.3487179487179487,17.0,0.6999818555649205
11.744999999999997,1.0,0.42391304347826086,20.0,0.6599793798296084
11.945,1.0,0.41964285714285715,20.0,0.6999999503009761
12.21,1.0,0.4529411764705883,21.0,0.6999860837450548
12.405000000000001,1.0,0.46078431372549017,20.0,0.7599996291389377
12.670000000000002,1.0,0.3263157894736842,16.0,0.64
12.869999999999997,1.0,0.3076923076923077,16.0,0.64
13.064999999999998,1.0,0.2686046511627907,14.0,0.56
13.329999999999998,1.0,0.27299999999999996,14.0,0.5599999999999999
13.594999999999999,1.0,0.328125,15.0,0.66
13.79,1.0,0.4083333333333333,19.0,0.699989369776477
13.990000000000002,1.0,0.403448275862069,18.0,0.6999893661185983
14.189999999999998,0.0,0.0,0.0,0.0
14.450000000000003,1.0,0.2871794871794872,16.0,0.7000000000000001
14.649999999999999,1.0,0.4125,19.0,0.7000000000000001
14.915,1.0,0.38662790697674415,19.0,0.7599999880817112
15.115000000000002,1.0,0.2666666666666666,14.0,0.6999998855291298
15.310000000000002,1.0,0.2644444444444444,14.0,0.699998721296909
15.575000000000003,1.0,0.24756097560975607,14.0,0.6799986710548438
15.839999999999996,1.0,0.19166666666666665,12.0,0.6
16.034999999999997,1.0,0.23214285714285715,13.0,0.64
16.299999999999997,1.0,0.25,14.0,0.5599935578470325
16.5,1.0,0.3487179487179487,17.0,0.6999818555649205
16.759999999999998,1.0,0.3829787234042553,18.0,0.659979799880001
16.96,1.0,0.39899999999999997,19.0,0.6599998569796375
17.225,1.0,0.4387755102040816,20.0,0.699999993190258
17.424999999999997,1.0,0.4083333333333334,18.0,0.76
17.619999999999997,1.0,0.3857142857142857,18.0,0.6799964963179401
17.82,1.0,0.3976744186046512,18.0,0.7000000000000001
18.08,1.0,0.32000000000000006,16.0,0.6601193607498123
18.28,1.0,0.40588235294117647,18.0,0.72
18.479999999999997,1.0,0.3556122448979592,17.0,0.6599989560308404
18.740000000000002,1.0,0.3466666666666667,16.0,0.66
18.939999999999998,1.0,0.47450980392156866,22.0,0.6999938262154202
19.205,1.0,0.21999999999999997,12.0,0.7000000000000001
19.405,1.0,0.22105263157894733,14.0,0.7000000000000001
19.665,1.0,0.32432432432432434,16.0,0.7000000000000001
19.865000000000002,1.0,0.24659090909090908,14.0,0.76
20.060000000000002,1.0,0.4111111111111111,20.0,0.6999857795925478
20.259999999999998,1.0,0.2833333333333333,15.0,0.6999941137587348
20.46,1.0,0.4305,21.0,0.699999303456526
20.655,1.0,0.3535714285714286,18.0,0.6000179124504751
20.854999999999997,1.0,0.21081081081081082,13.0,0.56
21.049999999999997,1.0,0.28378378378378377,15.0,0.7000000000000001
21.25,1.0,0.2394736842105263,14.0,0.6399917696534485
21.515,1.0,0.47916666666666663,23.0,0.6399717671287317
21.78,1.0,0.5106382978723404,24.0,0.6599941531600019
21.975,1.0,0.45999999999999996,23.0,0.6599966539213286
22.174999999999997,1.0,0.5234042553191489,24.0,0.6599970869597898
22.439999999999998,1.0,0.43369565217391304,21.0,0.7799916750089434
22.634999999999998,1.0,0.4166666666666667,20.0,0.5999967292068658
22.835,1.0,0.2782608695652174,16.0,0.4799919455912995
23.03,1.0,0.42954545454545456,21.0,0.639997398635597
