time_sec,valid,confidence,point_count,span_m
0.0,1.0,0.22435897435897437,14.0,0.6
0.19500000000000028,1.0,0.22435897435897437,14.0,0.6
0.3950000000000031,1.0,0.2763157894736842,15.0,0.76
0.5899999999999963,1.0,0.18648648648648647,12.0,0.6
0.7899999999999991,1.0,0.2596153846153846,15.0,0.6
0.990000000000002,1.0,0.18157894736842103,12.0,0.6
1.1850000000000023,1.0,0.2596153846153846,15.0,0.6
1.384999999999998,1.0,0.26249999999999996,15.0,0.6
1.5799999999999983,0.0,0.0,0.0,0.0
1.8449999999999989,0.0,0.0,0.0,0.0
2.1099999999999994,1.0,0.18648648648648647,12.0,0.6
2.3100000000000023,1.0,0.18157894736842103,12.0,0.6
2.5050000000000026,1.0,0.2596153846153846,15.0,0.6
2.770000000000003,1.0,0.18648648648648647,12.0,0.6
2.969999999999999,1.0,0.18157894736842103,12.0,0.6
3.164999999999999,1.0,0.22105263157894733,14.0,0.6
3.4949999999999974,1.0,0.2763157894736842,15.0,0.6
3.6950000000000003,1.0,0.18157894736842103,12.0,0.6
3.8900000000000006,1.0,0.2596153846153846,15.0,0.6
4.089999999999996,0.0,0.0,0.0,0.0
4.354999999999997,1.0,0.18157894736842103,12.0,0.6
4.549999999999997,1.0,0.2596153846153846,15.0,0.6
4.75,1.0,0.18648648648648647,12.0,0.6
4.950000000000003,1.0,0.18157894736842103,12.0,0.6
5.145000000000003,1.0,0.2596153846153846,15.0,0.6
5.409999999999997,1.0,0.2596153846153846,15.0,0.6
5.609999999999999,1.0,0.18157894736842103,12.0,0.6
5.805,1.0,0.18157894736842103,12.0,0.6
6.005000000000003,1.0,0.31351351351351353,16.0,0.64
6.270000000000003,1.0,0.22941176470588237,13.0,0.5599999999999999
6.464999999999996,1.0,0.34671052631578947,17.0,0.7000000000000001
6.729999999999997,1.0,0.3233695652173913,17.0,0.5599940468471991
6.93,1.0,0.42452830188679247,20.0,0.6999999503009761
7.125,1.0,0.43,20.0,0.6999835868925757
7.325000000000003,1.0,0.4632352941176471,21.0,0.7599997237711824
7.524999999999999,1.0,0.45454545454545453,20.0,0.7599989835373646
7.784999999999997,1.0,0.39886363636363636,18.0,0.7000000000000001
7.984999999999999,1.0,0.25232558139534883,14.0,0.5199728675460069
8.18,1.0,0.37670454545454546,17.0,0.72
8.380000000000003,1.0,0.35144230769230766,17.0,0.66
8.71,1.0,0.3271276595744681,15.0,0.66
8.909999999999997,1.0,0.3956896551724138,18.0,0.6999893661185983
9.104999999999997,1.0,0.3355263157894737,15.0,0.7002679447503759
9.435000000000002,1.0,0.38,19.0,0.7000000000000001
9.634999999999998,1.0,0.40375,19.0,0.7000000000000001
9.829999999999998,1.0,0.3276041666666667,17.0,0.7599992253977328
10.094999999999999,1.0,0.21627906976744185,12.0,0.6999996305444611
10.36,1.0,0.258695652173913,14.0,0.6999986869791466
10.560000000000002,1.0,0.1902439024390244,12.0,0.5999992530003333
10.755000000000003,0.0,0.0,0.0,0.0
11.020000000000003,1.0,0.23214285714285715,13.0,0.64
11.219999999999999,1.0,0.20294117647058824,12.0,0.64
11.415,1.0,0.34671052631578947,17.0,0.7000000000000001
11.68,1.0,0.40572916666666664,19.0,0.6599906824194519
11.880000000000003,1.0,0.37941176470588234,18.0,0.6599849892716777
12.14,1.0,0.4326923076923077,20.0,0.699998907677978
12.339999999999996,1.0,0.4071428571428571,19.0,0.7199989962158527
12.604999999999997,1.0,0.36124999999999996,17.0,0.68
12.805,1.0,0.4197674418604651,19.0,0.6999832161509953
13.0,1.0,0.33913043478260874,16.0,0.6601631753567108
13.200000000000003,1.0,0.2916666666666667,15.0,0.6599998205879625
13.530000000000001,1.0,0.41400000000000003,18.0,0.72
13.725000000000001,1.0,0.3695652173913043,17.0,0.6599993811636418
13.924999999999997,1.0,0.3554545454545454,17.0,0.6399865435343743
14.125,1.0,0.4574468085106383,20.0,0.6999923129621247
14.384999999999998,1.0,0.3027027027027027,16.0,0.7000000000000001
14.585,1.0,0.37321428571428567,19.0,0.7000000000000001
14.850000000000001,1.0,0.33260869565217394,17.0,0.8200000000000001
15.045000000000002,1.0,0.27045454545454545,14.0,0.76
15.310000000000002,1.0,0.2644444444444444,14.0,0.699998721296909
15.509999999999998,1.0,0.18292682926829268,12.0,0.5999992530003333
15.770000000000003,1.0,0.2333333333333333,14.0,0.6
15.969999999999999,1.0,0.2394736842105263,14.0,0.64
16.235,1.0,0.20294117647058824,12.0,0.64
16.43,1.0,0.34671052631578947,17.0,0.7000000000000001
16.695,1.0,0.4011111111111111,19.0,0.6599742710507134
16.895000000000003,1.0,0.41436170212765955,19.0,0.6599998569796375
17.089999999999996,1.0,0.39166666666666666,18.0,0.6999996424131494
17.354999999999997,1.0,0.4528301886792453,20.0,0.7599996291389377
17.555,1.0,0.3573863636363636,17.0,0.68
17.82,1.0,0.3976744186046512,18.0,0.7000000000000001
18.015,1.0,0.3681818181818182,18.0,0.7001486427527484
18.214999999999996,1.0,0.2770833333333333,14.0,0.5599862502873774
18.415,1.0,0.39899999999999997,19.0,0.7199994557937163
18.674999999999997,1.0,0.3591836734693878,16.0,0.72
18.939999999999998,1.0,0.47450980392156866,22.0,0.6999938262154202
19.14,1.0,0.26463414634146337,14.0,0.6999473385548083
19.405,1.0,0.22105263157894733,14.0,0.7000000000000001
19.6,1.0,0.2926829268292683,16.0,0.7000000000000001
19.799999999999997,1.0,0.36032608695652174,17.0,0.76
20.060000000000002,1.0,0.4111111111111111,20.0,0.6999857795925478
20.325000000000003,1.0,0.34944444444444445,17.0,0.6999889308582978
20.525,1.0,0.3074468085106383,17.0,0.5999943193426928
20.725,1.0,0.19166666666666665,12.0,0.6
20.92,1.0,0.368125,19.0,0.6999879111947991
21.119999999999997,1.0,0.22285714285714286,13.0,0.6999409172070009
21.380000000000003,1.0,0.45222222222222225,22.0,0.6199632129548112
21.58,1.0,0.4644444444444445,22.0,0.599981166834786
21.78,1.0,0.5106382978723404,24.0,0.6599941531600019
22.04,1.0,0.477127659574468,23.0,0.6599999753090371
22.305,1.0,0.48299999999999993,23.0,0.7199995691405907
22.505000000000003,1.0,0.5,22.0,0.7799994720352657
22.770000000000003,1.0,0.31000000000000005,16.0,0.5599967235431356
22.964999999999996,1.0,0.36453488372093024,19.0,0.5999999255329089
23.229999999999997,1.0,0.6180327868852459,29.0,0.659927861567545
