time_sec,raw_x,raw_y,raw_yaw,output_x,output_y,output_yaw,raw_waypoint_error_m,corrected_waypoint_error_m,p_x,p_y,p_yaw,lag_position_m,lag_yaw_rad
0.0,0.00033345586936413236,0.0501547175218884,-0.04809614608938517,0.00033345586936413236,0.0501547175218884,-0.04809614608938517,0.048230477677578654,0.048230477677578654,0.001000057862677837,0.0010239665374492263,3.4074087739889256,0.0,0.0
0.01999999999998181,0.00013513735505994416,0.050138580986228636,-0.048096220244312704,0.0001351373550599442,0.050138580986228636,-0.048096220244312704,0.04821594914662109,0.04821594914662109,0.0010505273372186303,0.0010991514730695293,3.4074407739893258,0.0,0.0
0.060000000000002274,-0.0002689709527412497,0.05010591399920903,-0.048096192138427085,-0.00011440713416749712,0.053302179011062455,-0.044896192138425446,0.04818655874054655,0.05138146593418357,0.0006385437752769095,0.0007529298840946253,0.0061519676460082395,0.00847188981465348,0.04259862282762065
0.09999999999999432,-0.0006830409576787527,0.05007272168669396,-0.048096186492216475,-0.0003727867634399553,0.05646387745722087,-0.04169618649221547,0.048156723770965,0.05454515481887324,0.0007436158766642017,0.0009178060805776043,0.005953576461511506,0.005254402371246234,0.039398622827621285
0.12000000000000455,0.001769858644792001,0.04979311909046937,-0.047915331179423155,0.0021607685442855723,0.05779803166076726,-0.03991533117942134,0.047857248333855795,0.05585872941279515,0.0007937877604553761,0.0009786111049716916,0.005862060868863072,0.0037515910413411517,0.03779862282762047
0.1599999999999966,0.0021905042896650595,0.049712315852724724,-0.04791522486778188,0.0027414360711128013,0.060916624168368204,-0.0367152248677807,0.047773038198982716,0.05897251286176603,0.0008962472292485361,0.0011666973173878011,0.005694389684366333,0.0005676768040051259,0.034598622827621106
0.19999999999998863,0.0025287985448952193,0.049755304585128834,-0.04781785296898544,0.003105682899215119,0.06154202799977913,-0.0334178529689849,0.04781328346846538,0.05959494373867701,0.000997056861691721,0.0013635577618568715,0.005547198499869585,0.0,0.031398622827621736
0.21999999999999886,0.0026910838138958426,0.049719003777495975,-0.04781778930399616,0.003269459946025588,0.06151319510003866,-0.031817789303994794,0.04777566844688832,0.05956478428803513,0.001047467248101687,0.0014384259820440053,0.005481282907221163,0.0,0.02979862282762092
0.2599999999999909,0.003021273336887787,0.04964537460412566,-0.047817972988501996,0.0036026741770137983,0.06145476007174415,-0.028617972988501262,0.04769936533459233,0.05950365030485325,0.0011508325787737991,0.0016425620749080218,0.00536481172272441,0.0,0.026598622827621553
0.29999999999998295,0.0027679244305578287,0.04917816099317585,-0.04807433404530314,0.0033709811860543376,0.06097643739348647,-0.02567433404530304,0.04723422059626882,0.05902722133171031,0.0012516457966285385,0.0018397251734003862,0.0052688205382276495,0.0,0.023398622827622187
0.3199999999999932,0.0028337498075752168,0.04913575787414562,-0.04807442035429998,0.0034386788659470915,0.060937092395073555,-0.024074420354299058,0.0471912853213063,0.05898732890091691,0.001302056444057475,0.001914589782206291,0.005228504945579239,0.0,0.021798622827621367
0.3599999999999852,0.0029672033834425675,0.049049898136451685,-0.048074520254431256,0.0035759233891407838,0.06085743254118221,-0.020874520254430973,0.04710434669354699,0.05890655922569487,0.001405422380635667,0.0021187145017798493,0.005163233761082474,0.0,0.018598622827622004
0.4000000000000057,-0.000790016910298586,0.049134534711588636,-0.04833456542933012,-0.00018123206614733677,0.06076996500234645,-0.017934565429328204,0.04721943471123438,0.058849548257525496,0.0015062339805205893,0.002315854889569141,0.005118442576585675,0.0,0.015398622827620369
0.4199999999999875,-0.001383655018351394,0.04912205553044046,-0.04833437216717985,-0.0007736763714046723,0.060730320602202174,-0.016334372167179385,0.0472117676853747,0.058814707228662534,0.0015566447392810691,0.0023907258190747445,0.005103726983937301,0.0,0.013798622827621825
